II##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat		Luminescence	Raw	FALSE	50	12.5	0.25				
1	450	1	12	96	405	Automatic	435			6	Automatic			1	8	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
2.5	30.00	81.932412	87.5234	53.977473	121.069335	115.478345	149.024287	115.478345	137.842305	93.114388	121.069335	 	 	37.204513	115.478345	137.842305	98.705377	20.431555	104.296366	109.887356	76.341423	188.16123	210.525202	 	 	42.7955	59.568461	81.932412	160.206269	48.386487	126.660325	165.797261	126.660325	171.388253	154.615278	 	 	93.114388	81.932412	76.341423	115.478345	121.069335	70.750436	53.977473	104.296366	109.887356	37.204513	 	 	20.431555	65.159448	70.750436	98.705377	98.705377	53.977473	81.932412	93.114388	98.705377	132.251315	 	 	104.296366	126.660325	87.5234	70.750436	81.932412	37.204513	87.5234	121.069335	59.568461	53.977473	 	 	31.613527	98.705377	93.114388	143.433296	76.341423	115.478345	149.024287	93.114388	93.114388	87.5234	 	 	98.705377	9.249584	53.977473	42.7955	26.022541	76.341423	65.159448	143.433296	42.7955	87.5234	 	 	
2.75	30.00	668.987456	422.983125	685.760495	859.08202	1921.380121	2346.301712	775.216738	663.396443	115.478345	53.977473	 	 	137.842305	126.660325	657.805431	663.396443	417.392123	819.944882	154.615278	294.390132	59.568461	104.296366	 	 	842.308959	976.493503	1183.361602	1149.815402	3716.123883	3604.301142	1809.558873	2061.156812	115.478345	93.114388	 	 	680.169482	473.302156	853.490999	1037.994796	473.302156	551.576242	434.16513	327.936118	48.386487	132.251315	 	 	355.891113	316.754122	786.398773	948.538378	691.351508	557.16725	249.662163	350.300114	149.024287	104.296366	 	 	149.024287	37.204513	316.754122	143.433296	182.570237	199.343215	93.114388	165.797261	81.932412	76.341423	 	 	48.386487	53.977473	411.801121	473.302156	406.210119	305.572126	171.388253	182.570237	37.204513	121.069335	 	 	149.024287	154.615278	607.486331	601.895321	389.437115	355.891113	132.251315	188.16123	81.932412	76.341423	 	 	
3	30.00	1949.335447	1764.8304	2407.803633	3078.735504	6327.211344	7160.309881	2346.301712	1653.009282	70.750436	115.478345	 	 	361.482113	316.754122	1524.415111	1954.926513	1949.335447	2486.078845	277.617141	713.715564	48.386487	121.069335	 	 	2486.078845	2581.127379	3347.10919	3313.56245	11521.581127	11432.117731	5080.36882	5935.824553	81.932412	98.705377	 	 	2139.431822	1960.51758	2558.763012	2955.731077	1893.4248	1574.734554	724.897594	814.353863	76.341423	65.159448	 	 	1328.728566	1160.997468	3212.92228	2597.900656	1781.603575	1994.063982	864.673041	680.169482	70.750436	165.797261	 	 	216.116196	227.298184	791.98979	769.625721	467.711152	411.801121	221.70719	299.981129	76.341423	81.932412	 	 	199.343215	143.433296	1462.913595	1502.05092	842.308959	1060.35891	372.664113	490.075171	87.5234	93.114388	 	 	400.619117	428.574128	1776.012516	1910.197992	808.762844	601.895321	400.619117	450.93814	70.750436	115.478345	 	 	
3.25	30.00	2743.26915	2469.305582	4191.371572	5158.645589	9570.174319	11812.337576	3386.247064	2983.686618	65.159448	59.568461	 	 	859.08202	383.846114	2922.184434	2972.504401	2452.53232	3799.991	573.940275	1043.585824	31.613527	93.114388	 	 	3906.222757	4269.647823	5069.186428	5550.030117	17543.722887	17526.947744	7165.901164	8049.326767	76.341423	109.887356	 	 	3816.76443	3162.602223	4163.415779	4929.406608	2637.038312	2385.439295	1116.269211	1379.047936	42.7955	93.114388	 	 	2044.383601	2217.706878	5030.048064	4856.72116	1932.562251	2184.16042	1379.047936	1043.585824	65.159448	149.024287	 	 	149.024287	244.071168	1267.227139	1216.907811	685.760495	624.259362	126.660325	249.662163	210.525202	70.750436	 	 	445.347137	395.028116	2128.249675	1977.29078	1289.591291	1379.047936	417.392123	562.758258	98.705377	65.159448	 	 	702.533536	579.531284	3095.508843	3089.91773	1188.952637	937.35633	506.848187	523.621206	160.206269	59.568461	 	 	
3.5	30.00	3419.793822	3347.10919	4700.168019	5550.030117	10252.324767	12147.826567	3598.710007	2983.686618	98.705377	53.977473	 	 	668.987456	551.576242	3475.705104	3749.670724	3330.335819	3844.720151	445.347137	1082.723028	70.750436	104.296366	 	 	4593.935635	5164.236788	6030.875526	7020.527887	18438.400208	18147.629425	7786.535	9547.808789	65.159448	244.071168	 	 	4006.863446	3335.926942	5058.004037	6025.28429	2536.398649	2603.491749	1144.22437	1434.958369	53.977473	26.022541	 	 	2558.763012	2262.435502	5577.986198	5818.408738	2368.666044	2363.074961	1256.045065	1144.22437	104.296366	76.341423	 	 	316.754122	299.981129	1099.496118	1244.862991	478.893161	467.711152	199.343215	227.298184	76.341423	37.204513	 	 	422.983125	277.617141	3207.331161	2815.953455	1524.415111	1490.868826	450.93814	903.810192	126.660325	65.159448	 	 	641.032396	685.760495	3078.735504	3738.488443	1026.812741	1183.361602	596.304311	629.850373	126.660325	81.932412	 	 	
3.75	30.00	3101.099957	3123.464414	5085.960016	5958.189482	9363.29331	11426.526271	3218.513398	2804.771252	70.750436	48.386487	 	 	668.987456	378.255113	3168.19334	3224.104517	2687.358172	3324.744696	456.529144	1160.997468	104.296366	65.159448	 	 	4409.426957	5058.004037	5919.050859	6640.321598	16296.776305	16649.051521	7031.710441	7445.4656	193.752222	59.568461	 	 	3956.543092	3319.153573	4599.526811	5153.054389	2145.022896	2150.61397	1233.680918	1216.907811	87.5234	93.114388	 	 	2827.13566	2391.030379	5919.050859	6097.970371	2049.974671	2519.625379	1395.821064	803.171826	76.341423	143.433296	 	 	238.480173	355.891113	1233.680918	1345.501687	629.850373	490.075171	204.934209	171.388253	132.251315	87.5234	 	 	506.848187	249.662163	2855.091175	2922.184434	1228.089882	1434.958369	523.621206	629.850373	65.159448	132.251315	 	 	775.216738	713.715564	2978.09551	3827.946718	1133.042306	993.26658	596.304311	652.214419	160.206269	76.341423	 	 	
4	30.00	2681.767076	2564.354103	3967.725392	4403.835788	7898.361221	9100.498973	2631.447218	2435.759061	42.7955	53.977473	 	 	691.351508	495.666176	3414.202695	3039.597719	2206.524725	2871.864486	445.347137	970.902477	20.431555	48.386487	 	 	3380.655938	4336.741789	5790.452606	5924.64209	14093.679229	13786.14317	5863.13856	6142.700286	87.5234	81.932412	 	 	3531.61641	2687.358172	4040.41036	5113.916001	2061.156812	1859.878423	864.673041	926.174283	31.613527	26.022541	 	 	2172.978269	2083.521096	4661.029763	4694.576839	1708.919829	2200.933648	1037.994796	814.353863	87.5234	65.159448	 	 	176.979245	238.480173	1088.314058	1200.134706	473.302156	311.163124	255.253158	199.343215	48.386487	81.932412	 	 	428.574128	439.756133	2497.261022	2245.662267	1155.406435	1004.448633	484.484166	680.169482	121.069335	76.341423	 	 	562.758258	713.715564	2832.726762	3162.602223	814.353863	1021.221713	540.394227	428.574128	76.341423	87.5234	 	 	
4.25	30.00	2385.439295	2228.889033	3671.394776	4012.454598	6511.722655	7652.343657	2340.71063	1893.4248	70.750436	121.069335	 	 	534.80322	400.619117	2418.985803	2161.796119	1854.287361	2307.164141	361.482113	551.576242	26.022541	160.206269	 	 	3061.962166	3643.439091	4403.835788	4627.482695	10727.595569	10576.627014	4856.72116	4946.180179	154.615278	109.887356	 	 	3017.233276	2497.261022	3157.011107	4135.459992	1552.370355	1658.600335	523.621206	747.261656	93.114388	48.386487	 	 	1910.197992	1507.641967	3973.316542	4157.824621	1434.958369	1625.054017	741.67064	842.308959	81.932412	104.296366	 	 	199.343215	249.662163	831.12692	959.720427	439.756133	367.073113	149.024287	104.296366	65.159448	109.887356	 	 	305.572126	350.300114	2145.022896	1994.063982	976.493503	747.261656	395.028116	629.850373	93.114388	70.750436	 	 	523.621206	495.666176	2357.483878	2743.26915	808.762844	752.852672	299.981129	339.118115	126.660325	81.932412	 	 	
4.5	30.00	2044.383601	1507.641967	2966.913293	3570.754338	5136.280793	6081.196657	1641.827175	1854.287361	59.568461	65.159448	 	 	529.212213	288.799135	2178.569345	1887.833737	1513.233015	1764.8304	322.34512	596.304311	126.660325	143.433296	 	 	2670.584883	3184.96669	3654.621364	3799.991	8809.748392	8546.955138	4046.001513	4191.371572	132.251315	143.433296	 	 	2357.483878	1949.335447	2698.540366	3509.251885	1127.451274	1093.905088	367.073113	769.625721	65.159448	81.932412	 	 	1625.054017	1233.680918	3458.931717	3397.429316	1138.633338	1625.054017	691.351508	764.034704	87.5234	98.705377	 	 	171.388253	115.478345	663.396443	1071.540968	350.300114	378.255113	188.16123	132.251315	154.615278	109.887356	 	 	355.891113	249.662163	1541.188257	1647.418228	736.079624	730.488609	277.617141	355.891113	109.887356	126.660325	 	 	495.666176	512.439193	1887.833737	2335.119548	417.392123	696.942522	311.163124	277.617141	59.568461	104.296366	 	 	
4.75	30.00	1591.507706	1423.776281	2625.856124	2670.584883	4040.41036	5220.148796	1675.373498	1440.549414	132.251315	98.705377	 	 	417.392123	327.936118	1831.923115	1781.603575	1457.322549	1462.913595	210.525202	613.077341	109.887356	126.660325	 	 	2161.796119	2614.673936	3028.415497	3252.060115	8032.552809	7870.404657	3129.055529	3688.168189	121.069335	104.296366	 	 	2089.112168	1468.504641	2240.071189	2989.277727	914.992237	1049.176853	545.985234	607.486331	121.069335	87.5234	 	 	1429.367325	987.675554	2905.411116	2911.002222	864.673041	1183.361602	573.940275	501.257182	137.842305	115.478345	 	 	143.433296	126.660325	490.075171	618.668352	311.163124	383.846114	121.069335	137.842305	59.568461	126.660325	 	 	272.026145	238.480173	1507.641967	1351.092728	641.032396	624.259362	316.754122	395.028116	109.887356	109.887356	 	 	277.617141	395.028116	1485.277779	1714.510885	383.846114	456.529144	305.572126	305.572126	109.887356	93.114388	 	 	
