##BLOCKS= 1          
Plate:	Plate#3	1.3	TimeFormat		Luminescence	Raw	FALSE	50	12.5	0.25				1	450	1	12	96	405	Automatic	435			6	Automatic			1	8	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
2.5	30.00	171.388253	93.114388	109.887356	109.887356	193.752222	165.797261	98.705377	154.615278	81.932412	70.750436	 	 	115.478345	98.705377	154.615278	81.932412	143.433296	132.251315	98.705377	115.478345	70.750436	104.296366	 	 	132.251315	98.705377	115.478345	165.797261	149.024287	210.525202	126.660325	126.660325	98.705377	171.388253	 	 	149.024287	104.296366	87.5234	81.932412	160.206269	137.842305	87.5234	98.705377	115.478345	115.478345	 	 	109.887356	126.660325	216.116196	93.114388	59.568461	154.615278	104.296366	109.887356	76.341423	132.251315	 	 	76.341423	121.069335	70.750436	31.613527	109.887356	93.114388	104.296366	115.478345	70.750436	104.296366	 	 	132.251315	143.433296	65.159448	154.615278	132.251315	126.660325	109.887356	121.069335	42.7955	87.5234	 	 	87.5234	98.705377	87.5234	126.660325	81.932412	137.842305	109.887356	104.296366	87.5234	87.5234	 	 	
2.75	30.00	764.034704	685.760495	1138.633338	1507.641967	4174.598096	2748.860249	937.35633	490.075171	104.296366	98.705377	 	 	244.071168	216.116196	881.446104	803.171826	914.992237	948.538378	260.844153	182.570237	143.433296	143.433296	 	 	1256.045065	1390.230021	1625.054017	1608.280861	5013.274483	5158.645589	2083.521096	1943.744382	210.525202	132.251315	 	 	1502.05092	1060.35891	1222.498846	1434.958369	668.987456	596.304311	445.347137	327.936118	210.525202	121.069335	 	 	769.625721	378.255113	1323.137526	1200.134706	641.032396	797.580808	590.713302	417.392123	160.206269	121.069335	 	 	98.705377	143.433296	372.664113	216.116196	216.116196	199.343215	193.752222	126.660325	93.114388	93.114388	 	 	238.480173	272.026145	691.351508	545.985234	540.394227	378.255113	272.026145	283.208138	109.887356	121.069335	 	 	149.024287	238.480173	652.214419	579.531284	299.981129	299.981129	227.298184	294.390132	104.296366	149.024287	 	 	
3	30.00	2771.224647	2145.022896	3285.606839	4135.459992	12824.39858	8094.057331	2323.937385	1367.865852	182.570237	115.478345	 	 	490.075171	523.621206	2955.731077	2754.451348	3034.006608	2911.002222	585.122293	490.075171	53.977473	137.842305	 	 	4431.791631	4018.04575	5108.324803	4761.671017	17325.646192	16688.193269	5997.328116	6237.751406	115.478345	143.433296	 	 	4482.112163	2760.042447	4482.112163	4303.194802	2167.387194	2279.20874	1407.00315	1093.905088	81.932412	81.932412	 	 	2016.428255	1518.824063	4219.327371	3581.936605	2055.565741	2279.20874	1367.865852	1093.905088	48.386487	98.705377	 	 	406.210119	322.34512	864.673041	613.077341	652.214419	490.075171	193.752222	70.750436	171.388253	182.570237	 	 	411.801121	316.754122	2284.79982	1692.146662	1630.645069	1250.454028	450.93814	456.529144	42.7955	115.478345	 	 	316.754122	641.032396	1843.105237	2446.941233	875.855083	814.353863	624.259362	825.535901	137.842305	93.114388	 	 	
3.25	30.00	4560.388584	3414.202695	5924.64209	6729.781804	19567.938831	11817.929052	3117.8733	2491.669934	199.343215	109.887356	 	 	747.261656	708.12455	4761.671017	4498.885678	5024.45687	4493.294506	831.12692	909.401214	244.071168	199.343215	 	 	7646.752354	7054.075552	7808.900236	7965.456998	25612.809325	24376.97188	9659.636475	8535.772457	216.116196	126.660325	 	 	7641.161051	4968.544943	7322.457176	6668.277906	3766.444147	2905.411116	2284.79982	1915.789056	70.750436	59.568461	 	 	3660.212501	2407.803633	6103.56161	6170.656491	3162.602223	3526.025278	1748.057226	1675.373498	81.932412	171.388253	 	 	439.756133	283.208138	1351.092728	982.084528	747.261656	708.12455	182.570237	126.660325	149.024287	81.932412	 	 	467.711152	495.666176	3017.233276	2581.127379	2463.714494	1680.964552	791.98979	618.668352	48.386487	176.979245	 	 	529.212213	853.490999	3285.606839	3341.518066	1144.22437	1233.680918	791.98979	892.628147	121.069335	115.478345	 	 	
3.5	30.00	5477.344332	4353.515286	7137.944752	7853.630721	19243.614888	12175.784021	3458.931717	2379.848211	104.296366	76.341423	 	 	842.308959	819.944882	5622.71594	6260.116385	4767.2622	4510.068022	663.396443	1233.680918	87.5234	132.251315	 	 	8116.422619	7954.274366	9346.519188	8597.27721	27111.487173	25937.148637	10034.259903	9603.722621	188.16123	26.022541	 	 	8177.92718	6209.795187	8306.527717	7859.222033	3475.705104	3011.642166	2256.844424	2139.431822	132.251315	132.251315	 	 	3693.759328	2793.589049	6774.51193	6998.162781	3319.153573	3749.670724	1943.744382	1871.060548	98.705377	199.343215	 	 	456.529144	350.300114	1496.459873	1160.997468	954.129403	545.985234	361.482113	98.705377	154.615278	160.206269	 	 	663.396443	339.118115	3682.577051	2860.682278	2771.224647	1692.146662	691.351508	680.169482	93.114388	76.341423	 	 	607.486331	881.446104	3671.394776	4196.962731	1317.546486	987.675554	808.762844	1093.905088	126.660325	98.705377	 	 	
3.75	30.00	4962.953752	3867.084732	6271.298876	7395.143959	17907.18483	11577.49578	3179.375573	2212.115801	143.433296	98.705377	 	 	708.12455	663.396443	5276.060827	5907.868397	4739.306287	4051.592666	791.98979	831.12692	121.069335	109.887356	 	 	7719.439312	8122.013942	9156.412619	8809.748392	24746.044316	22369.459255	9217.917656	8731.469496	115.478345	104.296366	 	 	7512.561151	6008.510585	7490.195964	7691.482785	2938.957754	2888.6378	2105.885384	1938.153316	65.159448	143.433296	 	 	3911.813905	2586.718471	6796.876998	6718.599275	3056.371054	3078.735504	1848.696299	1507.641967	137.842305	199.343215	 	 	557.16725	350.300114	1367.865852	1093.905088	881.446104	657.805431	277.617141	149.024287	48.386487	76.341423	 	 	523.621206	467.711152	3805.582143	3134.646644	2620.26503	1910.197992	635.441384	434.16513	81.932412	87.5234	 	 	523.621206	842.308959	3514.843016	4308.785966	1160.997468	1065.949939	674.578469	775.216738	104.296366	93.114388	 	 	
4	30.00	4705.7592	3403.020442	5885.503477	6992.571505	14814.993839	9693.1848	2603.491749	1792.785694	160.206269	81.932412	 	 	769.625721	752.852672	4616.300341	4901.450662	3777.626431	3246.468995	764.034704	864.673041	109.887356	165.797261	 	 	6634.730337	7177.08373	7954.274366	7646.752354	20278.099162	18505.501247	7758.578459	7562.882837	70.750436	20.431555	 	 	6841.607146	5214.557594	6808.059534	6724.19054	2502.852111	2223.297956	1954.926513	1585.916656	104.296366	98.705377	 	 	3201.740043	2200.933648	6220.977674	6148.291527	2737.678051	2720.904756	1228.089882	1530.006159	93.114388	70.750436	 	 	400.619117	305.572126	1172.179535	987.675554	780.807755	635.441384	204.934209	154.615278	87.5234	109.887356	 	 	462.120148	506.848187	3302.380205	2855.091175	1999.65505	1272.818177	590.713302	484.484166	76.341423	104.296366	 	 	618.668352	534.80322	2922.184434	3548.389806	864.673041	803.171826	585.122293	652.214419	93.114388	149.024287	 	 	
4.25	30.00	3844.720151	3252.060115	4599.526811	5745.722808	12019.222355	8049.326767	2340.71063	1602.689809	104.296366	81.932412	 	 	518.0302	657.805431	4107.504211	4196.962731	3403.020442	2704.131463	506.848187	624.259362	137.842305	137.842305	 	 	5292.834441	5471.75312	7115.579627	5812.817511	16732.926708	13607.213423	6243.34265	6427.853846	42.7955	137.842305	 	 	5231.3312	4722.532743	5661.854477	5438.20585	2122.658602	1759.239341	1412.594193	1574.734554	109.887356	154.615278	 	 	2748.860249	2016.428255	4823.174043	4756.079834	1954.926513	2228.889033	1105.087149	1205.72574	65.159448	126.660325	 	 	512.439193	249.662163	1121.860242	914.992237	629.850373	456.529144	221.70719	182.570237	109.887356	137.842305	 	 	422.983125	596.304311	2637.038312	2614.673936	1848.696299	1345.501687	529.212213	361.482113	199.343215	137.842305	 	 	383.846114	557.16725	2329.528466	2849.500071	786.398773	596.304311	529.212213	545.985234	137.842305	76.341423	 	 	
4.5	30.00	2983.686618	2368.666044	3962.134242	4767.2622	9245.8745	6707.416747	2027.610393	1602.689809	26.022541	104.296366	 	 	450.93814	434.16513	3011.642166	3280.015718	2838.317865	2195.342572	629.850373	372.664113	216.116196	93.114388	 	 	4588.344459	4795.218119	5650.672037	5304.016852	14020.988825	11040.716074	5723.357915	5085.960016	193.752222	104.296366	 	 	4113.095367	4034.819207	4096.3219	4605.117987	1658.600335	1490.868826	1239.271954	1356.683769	154.615278	182.570237	 	 	2430.167975	1306.364407	4185.780413	3945.360794	1742.466169	1736.875111	1105.087149	914.992237	70.750436	98.705377	 	 	322.34512	322.34512	948.538378	864.673041	395.028116	406.210119	154.615278	149.024287	216.116196	143.433296	 	 	422.983125	389.437115	2273.617661	2105.885384	1714.510885	942.947354	367.073113	311.163124	98.705377	98.705377	 	 	462.120148	456.529144	1720.101941	2508.4432	629.850373	713.715564	316.754122	523.621206	93.114388	87.5234	 	 	
4.75	30.00	2486.078845	2100.294311	3184.96669	3710.532744	7160.309881	5248.104809	1708.919829	1328.728566	171.388253	81.932412	 	 	445.347137	540.394227	2536.398649	2950.139969	2290.3909	1653.009282	462.120148	490.075171	87.5234	182.570237	 	 	3347.10919	3760.853006	4364.697618	4415.018125	11515.989663	9732.324522	4387.062285	3811.173287	87.5234	104.296366	 	 	3537.207542	2972.504401	3816.76443	3716.123883	1032.403768	1043.585824	859.08202	892.628147	104.296366	31.613527	 	 	1837.514176	1177.770569	3827.946718	3218.513398	1474.095687	1395.821064	864.673041	724.897594	104.296366	98.705377	 	 	232.889178	210.525202	685.760495	657.805431	350.300114	523.621206	176.979245	115.478345	109.887356	53.977473	 	 	406.210119	311.163124	1641.827175	1541.188257	1373.456894	903.810192	383.846114	288.799135	98.705377	126.660325	 	 	361.482113	467.711152	1518.824063	1686.555607	417.392123	529.212213	283.208138	428.574128	137.842305	93.114388	 	 	
