##BLOCKS= 1          
Plate:	Plate#2 - RV	1.3	TimeFormat		Luminescence	Raw	FALSE	50	12.5	0.25				1	450	1	12	96	405	Automatic	435			6	Automatic			1	8	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0	29.90	109.117122	0	0	0	0	0	141.273161	0	28.727048	93.039105	 	 	76.961088	12.649038	0	12.649038	0	68.922081	0	28.727048	28.727048	0	 	 	0	36.766054	0	4.610033	20.688043	0	0	213.624267	4.610033	181.468217	 	 	0	0	0	0	0	0	44.80506	68.922081	0	0	 	 	172.710172	54.429988	90.823884	63.528462	90.823884	0	99.922359	109.020835	118.11931	99.922359	 	 	99.922359	63.528462	154.513217	63.528462	81.72541	54.429988	118.11931	118.11931	145.41474	90.823884	 	 	272.793455	227.301048	236.399528	209.104088	81.72541	81.72541	72.626936	81.72541	90.823884	54.429988	 	 	90.823884	81.72541	18.036099	99.922359	45.331515	109.020835	118.11931	99.922359	27.134571	27.134571	 	 	
0.25	29.90	0	36.766054	0	0	0	0	0	0	0	0	 	 	0	76.961088	0	4.610033	12.649038	4.610033	0	4.610033	0	0	 	 	0	0	0	0	0	4.610033	20.688043	0	0	0	 	 	0	4.610033	0	0	101.078113	0	60.883074	20.688043	0	52.844067	 	 	209.104088	109.020835	54.429988	72.626936	90.823884	163.611694	27.134571	163.611694	127.217786	45.331515	 	 	36.233043	90.823884	72.626936	36.233043	118.11931	81.72541	99.922359	136.316263	63.528462	81.72541	 	 	63.528462	109.020835	118.11931	118.11931	63.528462	190.907129	227.301048	154.513217	127.217786	127.217786	 	 	127.217786	36.233043	18.036099	72.626936	90.823884	127.217786	99.922359	81.72541	181.808651	54.429988	 	 	
0.5	29.90	0	0	0	4.610033	12.649038	0	0	4.610033	0	0	 	 	0	0	0	0	0	0	0	0	0	0	 	 	12.649038	0	60.883074	0	0	4.610033	0	4.610033	0	0	 	 	28.727048	0	0	0	0	0	68.922081	0	0	68.922081	 	 	181.808651	154.513217	109.020835	172.710172	72.626936	109.020835	45.331515	163.611694	81.72541	172.710172	 	 	18.036099	190.907129	63.528462	18.036099	63.528462	0	90.823884	54.429988	90.823884	8.937627	 	 	63.528462	27.134571	81.72541	154.513217	45.331515	136.316263	109.020835	54.429988	181.808651	118.11931	 	 	181.808651	145.41474	109.020835	63.528462	172.710172	90.823884	54.429988	109.020835	54.429988	54.429988	 	 	
0.75	29.90	117.156131	0	93.039105	20.688043	0	60.883074	0	0	0	0	 	 	44.80506	28.727048	0	28.727048	0	60.883074	0	12.649038	0	0	 	 	4.610033	0	0	28.727048	0	157.351182	68.922081	44.80506	0	0	 	 	0	0	109.117122	52.844067	0	0	0	44.80506	125.195141	0	 	 	54.429988	54.429988	45.331515	81.72541	63.528462	54.429988	27.134571	218.202568	63.528462	18.036099	 	 	0	327.384355	54.429988	36.233043	90.823884	127.217786	172.710172	99.922359	63.528462	136.316263	 	 	8.937627	99.922359	45.331515	118.11931	109.020835	118.11931	209.104088	54.429988	236.399528	118.11931	 	 	72.626936	109.020835	99.922359	81.72541	81.72541	81.72541	81.72541	27.134571	54.429988	63.528462	 	 	
1	29.90	0	0	0	0	44.80506	4.610033	0	0	0	44.80506	 	 	101.078113	0	0	12.649038	68.922081	20.688043	0	181.468217	36.766054	0	 	 	0	36.766054	0	0	4.610033	0	44.80506	12.649038	0	0	 	 	0	0	0	52.844067	52.844067	36.766054	0	28.727048	4.610033	0	 	 	172.710172	109.020835	63.528462	163.611694	72.626936	136.316263	118.11931	172.710172	145.41474	54.429988	 	 	81.72541	72.626936	81.72541	72.626936	90.823884	209.104088	118.11931	90.823884	45.331515	109.020835	 	 	63.528462	99.922359	36.233043	127.217786	118.11931	127.217786	8.937627	154.513217	136.316263	63.528462	 	 	90.823884	109.020835	118.11931	154.513217	54.429988	145.41474	209.104088	99.922359	63.528462	63.528462	 	 	
1.25	29.90	28.727048	0	117.156131	52.844067	0	0	0	0	0	0	 	 	0	0	0	0	0	68.922081	0	12.649038	0	0	 	 	0	0	12.649038	0	36.766054	0	0	0	20.688043	0	 	 	0	68.922081	20.688043	0	28.727048	0	0	0	76.961088	0	 	 	154.513217	54.429988	163.611694	127.217786	72.626936	72.626936	109.020835	99.922359	54.429988	27.134571	 	 	81.72541	72.626936	227.301048	0	90.823884	72.626936	72.626936	145.41474	54.429988	45.331515	 	 	90.823884	18.036099	54.429988	72.626936	127.217786	8.937627	109.020835	27.134571	109.020835	54.429988	 	 	8.937627	54.429988	136.316263	90.823884	63.528462	163.611694	200.005608	200.005608	90.823884	172.710172	 	 	
1.5	29.90	4.610033	0	0	0	0	0	36.766054	0	0	0	 	 	0	0	109.117122	44.80506	0	0	20.688043	0	4.610033	0	 	 	0	0	0	4.610033	0	0	0	0	0	0	 	 	12.649038	0	20.688043	0	36.766054	85.000096	20.688043	12.649038	0	0	 	 	163.611694	72.626936	72.626936	27.134571	109.020835	27.134571	109.020835	145.41474	118.11931	45.331515	 	 	145.41474	0	54.429988	99.922359	8.937627	181.808651	200.005608	163.611694	36.233043	36.233043	 	 	127.217786	172.710172	36.233043	81.72541	72.626936	72.626936	54.429988	63.528462	118.11931	36.233043	 	 	127.217786	127.217786	99.922359	118.11931	90.823884	72.626936	200.005608	72.626936	81.72541	45.331515	 	 	
1.75	29.90	0	0	0	0	0	0	12.649038	0	44.80506	0	 	 	0	0	44.80506	0	4.610033	28.727048	85.000096	4.610033	0	44.80506	 	 	0	0	0	221.663281	12.649038	0	0	52.844067	36.766054	0	 	 	0	12.649038	20.688043	0	0	0	0	36.766054	0	0	 	 	118.11931	63.528462	127.217786	81.72541	109.020835	154.513217	90.823884	45.331515	136.316263	127.217786	 	 	45.331515	90.823884	0	36.233043	63.528462	109.020835	118.11931	99.922359	90.823884	63.528462	 	 	154.513217	63.528462	145.41474	209.104088	109.020835	90.823884	72.626936	81.72541	72.626936	18.036099	 	 	154.513217	181.808651	127.217786	109.020835	145.41474	81.72541	63.528462	109.020835	45.331515	54.429988	 	 	
2	29.90	0	0	0	60.883074	12.649038	0	0	0	0	0	 	 	68.922081	0	0	0	0	0	0	0	0	0	 	 	4.610033	0	0	28.727048	0	28.727048	0	0	60.883074	0	 	 	0	0	12.649038	0	0	0	0	109.117122	12.649038	0	 	 	90.823884	18.036099	45.331515	72.626936	81.72541	109.020835	99.922359	36.233043	145.41474	27.134571	 	 	54.429988	36.233043	63.528462	45.331515	109.020835	118.11931	127.217786	118.11931	109.020835	90.823884	 	 	0	63.528462	118.11931	109.020835	154.513217	99.922359	27.134571	90.823884	54.429988	99.922359	 	 	72.626936	90.823884	72.626936	81.72541	27.134571	99.922359	81.72541	118.11931	36.233043	127.217786	 	 	
2.25	29.90	52.844067	0	4.610033	4.610033	0	0	0	0	0	0	 	 	12.649038	0	0	0	0	0	0	0	0	0	 	 	85.000096	12.649038	0	0	0	12.649038	0	12.649038	0	12.649038	 	 	20.688043	12.649038	0	28.727048	76.961088	4.610033	0	0	12.649038	0	 	 	90.823884	54.429988	81.72541	190.907129	63.528462	154.513217	63.528462	109.020835	90.823884	45.331515	 	 	90.823884	99.922359	136.316263	109.020835	136.316263	90.823884	27.134571	18.036099	190.907129	0	 	 	27.134571	72.626936	27.134571	118.11931	136.316263	81.72541	118.11931	63.528462	18.036099	45.331515	 	 	63.528462	109.020835	72.626936	45.331515	181.808651	236.399528	36.233043	54.429988	81.72541	99.922359	 	 	
