##BLOCKS= 1          
Plate:	Plate#1 - RV	1.3	TimeFormat		Luminescence	Raw	FALSE	50	12.5	0.25				1	450	1	12	96	405	Automatic	435			6	Automatic			1	8	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
2.5	29.90	223.919215	112.994828	147.125402	155.658047	138.592758	155.658047	112.994828	53.266336	19.135777	61.798977	 	 	104.462185	130.060114	112.994828	138.592758	61.798977	138.592758	112.994828	78.864259	2.0705	10.603139	 	 	215.386568	70.331618	147.125402	87.396901	164.190691	155.658047	130.060114	147.125402	78.864259	104.462185	 	 	215.386568	104.462185	138.592758	283.647756	87.396901	130.060114	53.266336	130.060114	70.331618	61.798977	 	 	27.73379	82.123401	63.993529	18.668857	45.863659	36.798725	9.603923	0	45.863659	0	 	 	118.383149	118.383149	9.603923	18.668857	27.73379	36.798725	0.53899	0	27.73379	0	 	 	18.668857	45.863659	54.928594	0	199.967604	36.798725	227.162429	73.058465	63.993529	18.668857	 	 	54.928594	54.928594	54.928594	109.318211	136.513025	0	45.863659	91.188337	27.73379	0.53899	 	 	
2.75	29.90	10497.484092	5386.235917	1290.502926	1828.063219	3782.064086	4737.739411	300.713057	531.094755	70.331618	95.929543	 	 	2203.502989	1597.680064	1188.110649	1341.699084	1870.726794	2007.250296	87.396901	275.115107	19.135777	36.201056	 	 	5335.03875	3423.686987	1563.549248	1247.839471	4276.966823	4038.048112	829.738083	531.094755	36.201056	53.266336	 	 	9132.196654	5829.945235	1358.764473	1239.306781	710.2807	812.672738	505.496776	411.637546	87.396901	104.462185	 	 	299.68198	145.577964	73.058465	136.513025	63.993529	100.253274	0.53899	73.058465	18.668857	45.863659	 	 	5684.326014	4252.033972	1523.453031	1269.633285	780.12461	798.254541	91.188337	73.058465	36.798725	27.73379	 	 	345.006711	381.266502	254.357258	780.12461	299.68198	218.097487	27.73379	127.448087	73.058465	9.603923	 	 	2275.849015	1523.453031	1024.87881	671.345054	607.890338	444.721153	100.253274	136.513025	0	45.863659	 	 	
3	29.90	27615.546586	17068.056994	3918.58886	5207.045888	13424.349661	15753.925576	1384.362558	1700.072545	155.658047	78.864259	 	 	6913.623948	3850.326462	4345.229364	4746.272246	4259.901192	4908.396188	343.376315	590.823386	198.321274	240.984511	 	 	17375.257761	11811.581835	4072.179339	4592.681263	13262.218989	12443.034394	1776.86694	1683.007128	206.853921	138.592758	 	 	30175.698673	20993.434741	3671.137774	3739.400113	2647.205421	3048.244984	1128.381845	650.552034	130.060114	130.060114	 	 	626.020255	417.5263	462.851056	1033.943786	82.123401	444.721153	73.058465	0	9.603923	27.73379	 	 	17659.743708	13154.153544	4360.815315	4895.657712	2293.979071	2475.279711	589.760422	390.331451	0	54.928594	 	 	1532.518027	1378.41314	1088.333647	1650.363015	743.864752	707.6049	82.123401	254.357258	36.798725	27.73379	 	 	7125.692699	4605.573537	3554.021642	3689.997894	1940.443255	1713.818034	154.642903	290.617034	0	18.668857	 	 	
3.25	29.90	40100.856975	26719.500905	6452.846473	9123.663636	18604.065427	23818.046508	1785.399652	2706.934668	138.592758	70.331618	 	 	9405.253415	6358.984521	6538.175557	6572.3072	6504.043919	6913.623948	744.411373	1008.924288	87.396901	138.592758	 	 	25721.054613	17639.792123	6555.241378	7169.611882	18996.602761	18382.196832	2647.205421	2851.991483	147.125402	112.994828	 	 	46672.378214	36798.106962	5932.339829	6614.971763	4345.229364	4601.214092	1307.568311	1717.137964	172.723337	181.255982	 	 	1160.853484	725.734825	997.683885	1759.14306	372.201554	372.201554	91.188337	109.318211	0	0.53899	 	 	28819.866152	19209.978362	8086.609119	6799.34469	4188.578213	3798.778957	1088.333647	843.579376	54.928594	0.53899	 	 	1632.233012	2293.979071	2058.288463	2856.011547	1287.763257	1387.47813	172.772782	154.642903	0.53899	0	 	 	10624.899289	7461.10644	4904.722849	5910.955364	2892.271757	3943.820459	209.032545	544.43564	45.863659	127.448087	 	 	
3.5	29.90	45093.487014	30295.173217	7741.319421	11931.045683	20251.020581	26309.881326	1973.119412	3577.277096	181.255982	172.723337	 	 	10847.340461	6802.695943	9294.324062	8475.155313	7152.54601	7954.643537	744.411373	880.934125	53.266336	223.919215	 	 	30064.758087	22273.465466	8048.506219	8825.008233	20737.429555	21138.504489	2826.393214	3107.974347	130.060114	95.929543	 	 	52006.559985	41807.72537	7323.204796	7323.204796	4396.426284	5428.900233	1665.941712	1495.287633	121.527471	155.658047	 	 	1070.203692	852.644344	1233.373345	1686.623024	390.331451	209.032545	73.058465	163.707843	190.902663	9.603923	 	 	31213.338084	22083.834351	9700.233018	8866.223668	3898.49498	4705.289929	1206.178395	1070.203692	0	27.73379	 	 	2384.629372	2439.019571	2148.938667	3635.607383	1523.453031	1632.233012	199.967604	145.577964	0	54.928594	 	 	11422.653734	8240.718751	6327.953984	6500.192778	3925.690266	4224.838644	317.811871	616.955296	73.058465	0	 	 	
3.75	29.90	40775.068294	28025.168773	7630.390968	11052.13471	19602.477077	24406.867758	2066.979356	3244.498673	147.125402	36.201056	 	 	10676.678743	7417.067188	9183.394769	8799.409218	6785.630101	6452.846473	838.270756	684.682698	155.658047	70.331618	 	 	27973.965955	19491.542209	8304.495569	8398.358411	18552.864961	20114.484936	2621.607178	2613.074431	78.864259	130.060114	 	 	49301.045656	40894.549012	7638.923923	7382.935404	4345.229364	4993.724629	1537.95114	1648.876298	87.396901	87.396901	 	 	1106.463604	807.319507	1206.178395	1741.013048	417.5263	381.266502	54.928594	109.318211	82.123401	0.53899	 	 	28874.262949	22410.205251	9292.293263	8902.484878	3399.915325	4079.796955	961.423991	798.254541	27.73379	0	 	 	1876.98817	2167.068712	2194.263783	3010.11748	1015.813835	970.488964	136.513025	245.292315	0	27.73379	 	 	9419.207772	8376.697928	6971.583856	7397.649747	3010.11748	3336.459814	363.136606	471.916008	36.798725	45.863659	 	 	
4	29.90	35705.736231	24176.459241	7237.875385	9823.372284	15497.926928	21112.903938	1725.670673	2647.205421	95.929543	104.462185	 	 	9823.372284	5932.339829	9098.064584	7690.121666	5667.820565	5403.301643	923.597504	624.95404	164.190691	61.798977	 	 	25174.898015	17366.7244	7527.995526	7331.737739	16428.056875	16786.456696	2288.830305	2596.008938	130.060114	155.658047	 	 	43122.023712	38189.181235	6708.833831	7382.935404	3159.170959	4422.024749	1350.231778	1316.101004	70.331618	87.396901	 	 	671.345054	825.449441	1414.673104	1750.078054	317.811871	326.876817	163.707843	145.577964	73.058465	82.123401	 	 	25592.34714	19409.424557	8603.330078	8249.784027	2856.011547	3454.305777	1124.593563	970.488964	36.798725	109.318211	 	 	1224.308361	2312.109128	1632.233012	3282.069391	1024.87881	997.683885	154.642903	109.318211	0	54.928594	 	 	8857.158367	6772.149045	5484.89238	6844.670773	3001.052422	2973.857251	426.591251	616.955296	54.928594	18.668857	 	 	
4.25	29.90	28648.137416	19312.339857	5795.813715	8509.287279	11717.717431	16334.190359	1409.960647	1853.661363	53.266336	44.733696	 	 	7860.780899	5070.520257	7357.33657	7348.803626	4490.287337	5096.118806	676.150031	590.823386	155.658047	275.115107	 	 	21249.440247	16692.590015	6478.445194	6034.734474	13031.822991	13791.277446	2135.241161	1887.792227	189.788628	95.929543	 	 	35099.814349	30175.698673	5701.952064	5710.484939	2775.196686	3961.25287	1205.176025	1008.924288	61.798977	19.135777	 	 	598.82538	480.980961	798.254541	1052.073738	245.292315	326.876817	127.448087	118.383149	100.253274	73.058465	 	 	20053.093068	16055.12647	7878.108027	7216.345011	2321.174157	2665.645546	644.150173	580.695465	91.188337	91.188337	 	 	1233.373345	1741.013048	1242.43833	2720.035815	725.734825	897.96919	181.837723	308.746925	0.53899	82.123401	 	 	7615.215629	5729.651865	5231.06802	5521.153027	2339.304217	2502.47482	363.136606	426.591251	127.448087	109.318211	 	 	
4.5	29.90	22247.864773	15463.7938	5650.754818	6572.3072	9959.901079	14089.94008	949.195535	1717.137964	147.125402	198.321274	 	 	6367.517424	3790.596882	6384.583231	5608.090456	3961.25287	3884.457658	710.2807	420.170202	317.778359	78.864259	 	 	16692.590015	12681.962896	6469.912287	5514.228891	10727.877244	11384.925801	1606.212769	1597.680064	36.201056	112.994828	 	 	29228.438677	26787.770914	5283.841596	5138.783061	2570.410701	3176.236499	821.20541	940.662858	198.321274	61.798977	 	 	471.916008	209.032545	734.799788	1178.983447	408.46135	209.032545	118.383149	82.123401	73.058465	9.603923	 	 	16263.635387	13018.171386	6871.866428	5838.433946	2040.158427	1976.703312	626.020255	698.539938	91.188337	54.928594	 	 	1061.138715	1840.728129	1351.218171	2112.678581	789.189575	589.760422	154.642903	82.123401	18.668857	36.798725	 	 	5249.198322	5095.090806	4034.471447	4805.006366	1949.508269	2040.158427	254.357258	508.175821	9.603923	27.73379	 	 	
4.75	29.90	18134.728297	12758.761403	4473.221688	5616.623328	8167.967876	10625.480256	974.79357	1469.689534	44.733696	249.517159	 	 	4737.739411	3346.891976	4942.52756	4618.279752	3474.883677	2928.786309	548.160077	292.180407	258.049808	147.125402	 	 	14533.668226	10915.605188	4882.797662	3969.785674	8773.810207	8910.338303	1341.699084	1392.895254	112.994828	130.060114	 	 	21411.577233	20899.566136	4063.646532	4020.9825	1938.988534	2297.363039	812.672738	1153.979902	215.386568	10.603139	 	 	335.941764	363.136606	635.085214	952.359018	127.448087	227.162429	45.863659	0.53899	9.603923	9.603923	 	 	13308.26676	10933.122251	5811.238421	4424.271124	1831.66312	1822.598111	372.201554	544.43564	36.798725	54.928594	 	 	934.229074	1296.828244	1097.398626	1876.98817	680.410015	535.370685	18.668857	91.188337	45.863659	45.863659	 	 	4632.768912	4596.508413	3581.216885	3164.223521	1677.558021	1469.06306	299.68198	345.006711	0	109.318211	 	 	
