POSIXt,DateTime,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7
1500571915,2017-07-20 17:31:55,16.714,17.065,17.503,17.072,16.796,17.268,17.531,22.561
1500571920,2017-07-20 17:32:00,16.842,16.937,17.632,17.073,16.797,17.460,17.595,22.497
1500571925,2017-07-20 17:32:05,16.778,16.872,17.568,17.072,16.861,17.268,17.530,22.432
1500571930,2017-07-20 17:32:10,16.713,16.872,17.568,17.136,16.796,17.332,17.595,22.175
1500571935,2017-07-20 17:32:15,16.842,16.936,17.567,17.072,16.860,17.460,17.594,22.110
1500571940,2017-07-20 17:32:20,16.906,16.936,17.631,17.200,16.796,17.461,17.917,21.853
1500571945,2017-07-20 17:32:25,16.842,17.000,17.696,17.136,16.988,17.781,18.108,21.853
1500571950,2017-07-20 17:32:30,16.841,17.000,17.889,17.199,16.860,17.846,18.559,21.725
1500571955,2017-07-20 17:32:35,16.777,16.999,18.145,17.263,16.923,17.846,18.623,21.854
1500571960,2017-07-20 17:32:40,16.905,17.063,18.338,17.328,16.987,18.039,18.945,21.789
1500571965,2017-07-20 17:32:45,16.841,17.192,18.339,17.328,16.923,18.168,19.010,21.790
1500571970,2017-07-20 17:32:50,16.840,16.999,18.532,17.327,16.922,18.296,19.265,21.852
1500571975,2017-07-20 17:32:55,16.840,17.063,18.595,17.520,16.923,18.296,19.265,21.852
1500571980,2017-07-20 17:33:00,16.840,17.125,18.723,17.391,17.051,18.296,19.458,21.853
1500571985,2017-07-20 17:33:05,16.904,17.190,18.660,17.455,16.986,18.359,19.459,21.851
1500571990,2017-07-20 17:33:10,16.840,17.191,18.724,17.519,16.986,18.553,19.715,21.788
1500571995,2017-07-20 17:33:15,16.904,17.256,18.851,17.583,16.986,18.552,19.715,21.786
1500572000,2017-07-20 17:33:20,17.097,17.190,19.108,17.649,16.923,18.682,19.778,21.722
1500572005,2017-07-20 17:33:25,17.032,17.255,19.109,17.842,17.051,18.682,19.843,21.658
1500572010,2017-07-20 17:33:30,17.032,17.255,19.173,17.777,16.985,18.809,19.970,21.722
1500572015,2017-07-20 17:33:35,17.032,17.254,19.301,17.841,17.049,18.810,19.907,21.849
1500572020,2017-07-20 17:33:40,17.032,17.254,19.302,17.968,17.050,18.873,20.099,21.787
1500572025,2017-07-20 17:33:45,17.095,17.319,19.493,17.905,16.986,18.937,20.162,21.848
1500572030,2017-07-20 17:33:50,17.159,17.446,19.622,18.033,17.113,19.065,20.292,21.849
1500572035,2017-07-20 17:33:55,17.160,17.317,19.559,18.034,17.048,19.065,20.355,21.849
1500572040,2017-07-20 17:34:00,17.096,17.768,19.365,17.968,17.370,18.550,20.034,21.914
1500572045,2017-07-20 17:34:05,17.354,17.510,19.558,17.904,17.499,18.678,19.904,21.848
1500572050,2017-07-20 17:34:10,17.419,17.637,19.622,17.967,17.563,18.808,20.097,21.721
1500572055,2017-07-20 17:34:15,17.483,17.574,19.686,17.968,17.563,18.936,20.290,21.784
1500572060,2017-07-20 17:34:20,17.611,17.509,19.750,18.160,17.433,19.128,20.354,21.720
1500572065,2017-07-20 17:34:25,17.482,17.573,19.815,18.224,17.497,19.256,20.483,21.847
1500572070,2017-07-20 17:34:30,17.482,17.638,19.941,18.161,17.498,19.387,20.483,21.975
1500572075,2017-07-20 17:34:35,17.545,17.637,19.943,18.225,17.433,19.321,20.739,22.040
1500572080,2017-07-20 17:34:40,17.546,17.573,20.071,18.289,17.497,19.450,20.868,21.847
1500572085,2017-07-20 17:34:45,17.611,17.637,20.134,18.418,17.431,19.514,20.931,22.039
1500572090,2017-07-20 17:34:50,17.545,17.636,20.006,18.419,17.433,19.514,20.932,22.168
1500572095,2017-07-20 17:34:55,17.672,17.701,20.070,18.481,17.561,19.578,21.123,22.039
1500572100,2017-07-20 17:35:00,17.609,17.637,20.135,18.609,17.496,19.642,21.059,22.038
1500572105,2017-07-20 17:35:05,17.609,17.829,20.199,18.675,17.433,19.771,21.060,21.846
1500572110,2017-07-20 17:35:10,17.673,17.828,20.198,18.610,17.368,19.835,21.188,21.846
1500572115,2017-07-20 17:35:15,17.609,17.701,20.262,18.739,17.496,19.770,21.380,21.845
1500572120,2017-07-20 17:35:20,17.608,17.765,20.263,18.738,17.432,19.962,21.507,21.717
1500572125,2017-07-20 17:35:25,17.673,17.765,20.391,18.867,17.559,19.898,21.380,21.718
1500572130,2017-07-20 17:35:30,17.801,17.829,20.583,18.803,17.496,20.027,21.317,21.717
1500572135,2017-07-20 17:35:35,17.673,17.893,20.647,18.866,17.431,20.092,21.636,21.652
1500572140,2017-07-20 17:35:40,17.673,17.893,20.712,18.931,17.624,20.091,21.635,21.717
1500572145,2017-07-20 17:35:45,17.801,18.022,20.712,18.931,17.623,20.091,21.572,21.653
1500572150,2017-07-20 17:35:50,17.608,17.763,20.711,18.867,17.236,20.219,21.699,21.395
1500572155,2017-07-20 17:35:55,17.864,17.893,20.775,19.123,17.622,20.413,21.827,21.716
1500572160,2017-07-20 17:36:00,17.866,17.956,20.967,18.994,17.623,20.348,21.828,21.460
1500572165,2017-07-20 17:36:05,17.800,17.891,20.839,19.187,17.623,20.475,22.020,21.394
1500572170,2017-07-20 17:36:10,17.479,17.828,20.517,18.414,17.237,20.476,21.957,21.008
1500572175,2017-07-20 17:36:15,16.125,17.506,19.168,18.222,17.107,20.219,21.763,19.468
1500572180,2017-07-20 17:36:20,17.801,17.955,21.096,19.251,17.688,20.605,22.276,21.780
1500572185,2017-07-20 17:36:25,17.608,17.635,21.031,18.929,16.977,20.475,22.211,20.301
1500572190,2017-07-20 17:36:30,17.413,16.412,20.646,17.900,16.850,20.347,22.340,19.661
1500572195,2017-07-20 17:36:35,17.929,18.020,21.160,19.251,17.815,20.732,22.277,21.845
1500572200,2017-07-20 17:36:40,17.929,18.148,21.289,19.379,17.688,20.733,22.404,21.844
1500572205,2017-07-20 17:36:45,17.993,18.019,21.225,19.445,17.750,20.859,22.339,21.779
1500572210,2017-07-20 17:36:50,17.931,18.084,21.415,19.444,17.751,20.924,22.532,21.716
1500572215,2017-07-20 17:36:55,17.930,18.148,21.481,19.572,17.751,21.053,22.597,21.778
1500572220,2017-07-20 17:37:00,18.058,18.148,21.481,19.636,17.879,20.861,22.660,21.843
1500572225,2017-07-20 17:37:05,18.122,18.148,21.609,19.508,17.815,21.118,22.596,21.714
1500572230,2017-07-20 17:37:10,18.122,18.212,21.673,19.636,17.942,21.053,22.725,21.843
1500572235,2017-07-20 17:37:15,17.994,18.147,21.608,19.701,17.943,21.180,22.789,21.971
1500572240,2017-07-20 17:37:20,17.349,17.763,20.901,19.185,17.751,20.861,22.788,21.007
1500572245,2017-07-20 17:37:25,18.187,18.276,21.736,19.701,17.944,21.181,22.853,22.036
1500572250,2017-07-20 17:37:30,18.123,18.276,21.737,19.765,17.878,21.309,22.852,21.971
1500572255,2017-07-20 17:37:35,18.186,18.340,21.673,19.765,17.879,21.245,22.916,21.907
1500572260,2017-07-20 17:37:40,18.251,18.403,21.801,19.828,17.943,21.309,23.044,21.906
1500572265,2017-07-20 17:37:45,18.250,18.275,21.928,19.957,18.135,21.374,23.108,21.778
1500572270,2017-07-20 17:37:50,17.282,18.017,21.030,19.249,17.491,21.051,23.044,20.494
1500572275,2017-07-20 17:37:55,16.314,17.440,20.130,18.864,17.234,20.989,22.914,19.787
1500572280,2017-07-20 17:38:00,17.929,18.018,21.543,19.570,17.941,21.308,23.108,21.714
1500572285,2017-07-20 17:38:05,18.315,18.403,21.929,20.150,18.136,21.566,23.301,21.841
1500572290,2017-07-20 17:38:10,18.443,18.276,22.056,20.278,18.071,21.566,23.364,21.841
1500572295,2017-07-20 17:38:15,18.443,18.403,22.121,20.213,18.199,21.629,23.365,21.842
1500572300,2017-07-20 17:38:20,18.442,18.339,22.121,20.214,18.135,21.629,23.365,21.905
1500572305,2017-07-20 17:38:25,18.121,18.275,21.929,20.084,18.005,21.629,23.365,21.585
1500572310,2017-07-20 17:38:30,18.314,18.338,22.056,20.151,18.071,21.694,23.365,21.456
1500572315,2017-07-20 17:38:35,18.249,18.467,22.250,20.342,18.007,21.566,23.300,21.520
1500572320,2017-07-20 17:38:40,18.379,18.403,22.313,20.406,18.200,21.693,23.556,21.842
1500572325,2017-07-20 17:38:45,18.508,18.468,22.313,20.342,18.263,21.886,23.685,21.969
1500572330,2017-07-20 17:38:50,18.507,18.596,22.570,20.471,18.263,21.822,23.747,21.841
1500572335,2017-07-20 17:38:55,18.636,18.660,22.441,20.535,18.326,21.886,23.684,21.970
1500572340,2017-07-20 17:39:00,18.443,18.596,22.570,20.470,18.264,21.950,23.685,21.905
1500572345,2017-07-20 17:39:05,18.636,18.660,22.505,20.469,18.263,21.886,23.941,22.033
1500572350,2017-07-20 17:39:10,18.636,18.596,22.506,20.599,18.263,21.886,23.940,21.970
1500572355,2017-07-20 17:39:15,18.636,18.660,22.570,20.728,18.263,21.886,24.005,21.840
1500572360,2017-07-20 17:39:20,18.699,18.660,22.569,20.726,18.326,22.142,24.003,22.033
1500572365,2017-07-20 17:39:25,18.572,18.595,22.633,20.726,18.327,22.078,23.940,22.034
1500572370,2017-07-20 17:39:30,18.700,18.659,22.762,20.792,18.327,22.143,24.131,22.034
1500572375,2017-07-20 17:39:35,18.828,18.660,22.633,20.855,18.262,22.206,24.195,22.161
1500572380,2017-07-20 17:39:40,18.828,18.724,22.697,20.984,18.327,22.334,24.261,21.969
1500572385,2017-07-20 17:39:45,18.700,18.723,22.505,20.920,18.327,22.079,24.131,21.906
1500572390,2017-07-20 17:39:50,18.828,18.660,22.633,20.985,18.390,22.077,24.260,21.969
1500572395,2017-07-20 17:39:55,18.893,18.787,22.761,20.984,18.327,22.270,24.325,21.776
1500572400,2017-07-20 17:40:00,18.829,18.659,22.698,20.920,18.262,22.270,24.325,21.841
1500572405,2017-07-20 17:40:05,18.764,18.852,22.761,20.918,18.328,22.270,24.516,21.905
1500572410,2017-07-20 17:40:10,18.957,18.851,22.761,20.983,18.519,22.399,24.388,21.969
1500572415,2017-07-20 17:40:15,18.957,18.786,22.763,21.112,18.518,22.399,24.387,21.969
1500572420,2017-07-20 17:40:20,18.892,18.852,23.018,21.048,18.456,22.462,24.452,21.904
1500572425,2017-07-20 17:40:25,18.957,18.852,23.017,21.111,18.519,22.526,24.453,21.904
1500572430,2017-07-20 17:40:30,18.957,18.852,23.019,21.177,18.391,22.527,24.581,21.840
1500572435,2017-07-20 17:40:35,18.958,18.851,23.017,21.111,18.391,22.590,24.452,21.648
1500572440,2017-07-20 17:40:40,18.957,18.915,23.145,21.113,18.583,22.653,24.642,21.712
1500572445,2017-07-20 17:40:45,19.020,18.915,23.146,21.305,18.455,22.719,24.580,21.776
1500572450,2017-07-20 17:40:50,19.021,18.916,23.273,21.304,18.519,22.655,24.644,21.776
1500572455,2017-07-20 17:40:55,18.956,19.109,23.273,21.497,18.582,22.718,24.579,21.712
1500572460,2017-07-20 17:41:00,19.150,18.979,23.273,21.497,18.520,22.782,24.580,21.775
1500572465,2017-07-20 17:41:05,19.150,19.043,23.274,21.369,18.455,22.847,24.644,21.711
1500572470,2017-07-20 17:41:10,19.151,19.044,23.145,21.497,18.649,22.718,24.836,21.776
1500572475,2017-07-20 17:41:15,19.278,19.044,23.274,21.433,18.646,22.848,24.836,21.775
1500572480,2017-07-20 17:41:20,19.215,19.044,23.273,21.498,18.712,22.847,24.899,21.775
1500572485,2017-07-20 17:41:25,19.278,19.044,23.337,21.432,18.647,22.911,25.091,21.969
1500572490,2017-07-20 17:41:30,19.279,19.109,23.400,21.497,18.711,22.911,24.963,21.969
1500572495,2017-07-20 17:41:35,19.278,19.107,23.465,21.561,18.776,22.911,24.963,22.097
1500572500,2017-07-20 17:41:40,19.278,19.172,23.529,21.561,18.775,22.974,24.899,22.097
1500572505,2017-07-20 17:41:45,19.342,19.172,23.466,21.688,18.712,22.975,25.027,22.289
1500572510,2017-07-20 17:41:50,19.214,19.172,23.529,21.753,18.775,23.103,25.154,22.610
1500572515,2017-07-20 17:41:55,19.405,19.171,23.529,21.689,18.775,23.167,25.348,22.737
1500572520,2017-07-20 17:42:00,19.278,19.172,23.466,21.754,18.776,22.975,25.155,22.866
1500572525,2017-07-20 17:42:05,19.472,19.172,23.593,21.753,18.840,23.168,25.091,22.802
1500572530,2017-07-20 17:42:10,19.471,19.236,23.593,21.753,18.776,23.359,25.156,22.545
1500572535,2017-07-20 17:42:15,19.407,19.171,23.530,21.882,18.904,23.231,25.092,22.545
1500572540,2017-07-20 17:42:20,19.408,19.172,23.594,21.882,18.840,23.295,25.283,22.610
1500572545,2017-07-20 17:42:25,19.471,19.171,23.530,22.010,18.839,23.360,25.346,22.610
1500572550,2017-07-20 17:42:30,19.407,19.235,23.657,22.010,18.840,23.296,25.410,22.480
1500572555,2017-07-20 17:42:35,19.471,19.299,23.594,22.009,18.903,23.232,25.410,22.418
1500572560,2017-07-20 17:42:40,19.471,19.299,23.530,21.946,18.904,23.295,25.218,22.609
1500572565,2017-07-20 17:42:45,19.407,19.300,23.722,22.075,19.031,23.423,25.218,22.544
1500572570,2017-07-20 17:42:50,19.406,19.300,23.722,22.075,19.032,23.487,25.283,22.416
1500572575,2017-07-20 17:42:55,19.471,19.363,23.785,22.009,18.968,23.487,25.346,22.417
1500572580,2017-07-20 17:43:00,19.535,19.428,23.850,22.202,19.033,23.551,25.410,22.225
1500572585,2017-07-20 17:43:05,19.536,19.364,23.785,22.138,19.033,23.486,25.411,22.224
1500572590,2017-07-20 17:43:10,19.536,19.236,23.850,22.138,19.031,23.486,25.410,22.352
1500572595,2017-07-20 17:43:15,19.535,19.364,23.849,22.074,18.967,23.551,25.474,22.545
1500572600,2017-07-20 17:43:20,19.535,19.365,23.914,22.202,19.097,23.615,25.410,22.802
1500572605,2017-07-20 17:43:25,19.665,19.429,23.914,22.266,19.033,23.615,25.410,22.674
1500572610,2017-07-20 17:43:30,19.792,19.429,23.786,22.267,19.097,23.552,25.474,22.545
1500572615,2017-07-20 17:43:35,19.664,19.428,23.913,22.330,19.032,23.679,25.474,22.544
1500572620,2017-07-20 17:43:40,19.792,19.429,24.104,22.329,19.160,23.614,25.410,22.416
1500572625,2017-07-20 17:43:45,19.728,19.428,24.105,22.266,19.161,23.614,25.474,22.288
1500572630,2017-07-20 17:43:50,19.792,19.556,24.041,22.394,19.096,23.680,25.410,22.353
1500572635,2017-07-20 17:43:55,19.792,19.492,24.233,22.393,19.225,23.679,25.666,22.289
1500572640,2017-07-20 17:44:00,19.792,19.556,24.041,22.458,19.225,23.615,25.602,22.480
1500572645,2017-07-20 17:44:05,19.857,19.556,24.041,22.459,19.161,23.744,25.603,22.288
1500572650,2017-07-20 17:44:10,19.921,19.492,24.042,22.459,19.225,23.744,25.729,22.352
1500572655,2017-07-20 17:44:15,19.855,19.429,23.977,22.459,19.290,23.807,25.667,22.352
1500572660,2017-07-20 17:44:20,19.921,19.557,24.041,22.394,19.289,23.680,25.666,22.609
1500572665,2017-07-20 17:44:25,19.857,19.555,22.950,21.944,19.096,23.614,25.474,22.544
1500572670,2017-07-20 17:44:30,19.920,19.619,23.591,22.329,18.904,23.742,25.666,21.968
1500572675,2017-07-20 17:44:35,19.920,19.427,23.336,22.330,18.902,23.551,25.602,21.197
1500572680,2017-07-20 17:44:40,19.921,19.683,23.721,22.457,19.096,23.744,25.858,21.775
1500572685,2017-07-20 17:44:45,19.858,19.685,24.041,22.586,19.289,23.871,25.856,22.159
1500572690,2017-07-20 17:44:50,19.921,19.684,24.169,22.650,19.288,23.999,25.730,22.224
1500572695,2017-07-20 17:44:55,19.986,19.749,24.361,22.651,19.353,23.998,25.793,22.224
1500572700,2017-07-20 17:45:00,19.986,19.684,24.361,22.715,19.353,24.063,25.793,22.288
1500572705,2017-07-20 17:45:05,19.985,19.684,24.233,22.394,19.353,24.064,25.793,22.159
1500572710,2017-07-20 17:45:10,19.985,19.749,24.297,22.651,19.288,24.063,25.921,22.223
1500572715,2017-07-20 17:45:15,19.598,18.913,24.169,22.650,19.290,23.999,25.857,20.809
1500572720,2017-07-20 17:45:20,19.985,19.428,23.142,22.008,19.289,23.680,25.985,21.454
1500572725,2017-07-20 17:45:25,20.112,19.812,23.206,22.329,19.160,24.127,26.048,21.453
1500572730,2017-07-20 17:45:30,19.984,19.748,24.297,22.778,19.482,24.128,25.985,22.030
