POSIXt,DateTime,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7
1500032605,2017-07-14 11:43:25,15.310,16.568,16.810,17.024,21.827,14.768,15.482,14.795
1500032610,2017-07-14 11:43:30,15.374,16.631,16.745,17.024,21.955,14.897,15.420,14.859
1500032615,2017-07-14 11:43:35,15.438,16.695,16.873,17.217,21.954,14.833,15.418,14.859
1500032620,2017-07-14 11:43:40,15.374,16.887,16.874,17.410,21.954,14.895,15.418,14.986
1500032625,2017-07-14 11:43:45,15.567,16.887,17.003,17.474,21.954,14.961,15.481,15.050
1500032630,2017-07-14 11:43:50,15.502,17.016,17.002,17.474,22.082,14.896,15.482,14.921
1500032635,2017-07-14 11:43:55,15.696,17.080,17.131,17.604,22.145,14.831,15.545,15.050
1500032640,2017-07-14 11:44:00,15.501,17.144,16.937,17.601,22.145,14.896,15.933,14.920
1500032645,2017-07-14 11:44:05,15.501,16.629,15.970,16.958,22.017,15.153,16.320,15.049
1500032650,2017-07-14 11:44:10,15.565,16.693,16.421,16.892,22.081,15.088,16.126,15.049
1500032655,2017-07-14 11:44:15,15.629,16.630,16.678,17.086,22.016,15.217,15.932,15.112
1500032660,2017-07-14 11:44:20,15.694,16.693,16.871,17.149,21.823,15.216,15.867,15.048
1500032665,2017-07-14 11:44:25,15.888,16.822,16.936,17.215,22.080,15.281,15.866,15.112
1500032670,2017-07-14 11:44:30,15.888,16.949,17.128,17.280,22.017,15.152,15.930,15.240
1500032675,2017-07-14 11:44:35,16.082,16.949,17.194,17.408,22.142,15.409,15.803,15.434
1500032680,2017-07-14 11:44:40,16.081,17.078,17.256,17.536,22.080,15.281,15.800,15.433
1500032685,2017-07-14 11:44:45,16.081,17.078,17.321,17.599,22.014,15.345,15.800,15.305
1500032690,2017-07-14 11:44:50,16.146,17.141,17.450,17.665,22.142,15.344,15.736,15.367
1500032695,2017-07-14 11:44:55,16.273,17.270,17.515,17.727,22.400,15.474,15.800,15.369
1500032700,2017-07-14 11:45:00,16.338,17.270,17.514,17.921,22.142,15.409,15.865,15.497
1500032705,2017-07-14 11:45:05,16.467,17.335,17.706,17.857,22.014,15.409,15.801,15.497
1500032710,2017-07-14 11:45:10,16.208,17.461,17.578,18.049,21.949,15.666,15.929,15.560
1500032715,2017-07-14 11:45:15,16.272,17.463,17.706,18.049,21.822,15.666,15.994,15.495
1500032720,2017-07-14 11:45:20,16.401,17.527,17.836,18.114,21.757,15.538,15.994,15.624
1500032725,2017-07-14 11:45:25,16.402,17.525,17.900,18.176,21.755,15.472,15.993,15.560
1500032730,2017-07-14 11:45:30,16.530,17.655,17.962,18.177,21.756,15.536,16.059,15.560
1500032735,2017-07-14 11:45:35,16.530,17.655,17.900,18.177,21.693,15.600,16.056,15.689
1500032740,2017-07-14 11:45:40,16.466,17.717,17.899,18.112,21.564,15.664,16.122,15.688
1500032745,2017-07-14 11:45:45,16.786,17.846,18.027,18.113,22.075,15.729,16.057,15.816
1500032750,2017-07-14 11:45:50,16.722,17.782,18.091,18.176,29.172,15.664,16.184,15.624
1500032755,2017-07-14 11:45:55,16.851,17.782,18.221,18.176,27.450,15.727,16.121,15.687
1500032760,2017-07-14 11:46:00,16.915,17.847,18.349,18.304,25.919,15.794,16.186,15.751
1500032765,2017-07-14 11:46:05,16.852,17.975,18.284,18.369,24.958,15.793,16.184,15.750
1500032770,2017-07-14 11:46:10,16.915,18.038,18.284,18.433,24.190,15.727,16.248,15.815
1500032775,2017-07-14 11:46:15,17.109,18.037,18.413,18.433,23.484,15.793,16.248,15.816
1500032780,2017-07-14 11:46:20,17.108,18.167,18.348,18.498,23.037,15.791,16.313,15.879
1500032785,2017-07-14 11:46:25,17.109,18.166,18.540,18.497,22.651,15.985,16.377,15.815
1500032790,2017-07-14 11:46:30,17.109,18.231,18.476,18.625,22.395,15.856,16.312,15.814
1500032795,2017-07-14 11:46:35,17.108,18.293,18.669,18.689,22.266,15.919,16.440,15.879
1500032800,2017-07-14 11:46:40,17.172,18.486,18.604,18.818,22.138,15.985,16.441,15.880
1500032805,2017-07-14 11:46:45,17.366,18.422,18.733,18.946,21.880,15.984,16.440,15.879
1500032810,2017-07-14 11:46:50,17.430,18.487,18.732,18.947,21.880,16.048,16.440,15.879
1500032815,2017-07-14 11:46:55,17.429,18.487,18.732,18.946,21.689,16.048,16.504,15.943
1500032820,2017-07-14 11:47:00,17.494,18.424,18.733,19.010,22.073,15.984,16.504,15.942
1500032825,2017-07-14 11:47:05,17.429,18.678,18.925,19.010,22.264,16.047,16.440,15.943
