POSIXt,DateTime,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7
1500036845,2017-07-14 12:54:05,22.354,14.980,15.028,15.626,16.771,18.078,15.379,17.396
1500036850,2017-07-14 12:54:10,22.354,15.042,14.834,15.690,16.707,18.079,15.377,17.395
1500036855,2017-07-14 12:54:15,22.354,15.107,14.963,15.819,16.835,18.271,15.378,17.524
1500036860,2017-07-14 12:54:20,22.354,15.106,15.092,15.818,16.964,18.401,15.377,17.590
1500036865,2017-07-14 12:54:25,22.481,15.107,15.092,15.948,16.963,18.400,15.441,17.588
1500036870,2017-07-14 12:54:30,22.354,15.237,15.027,16.076,16.963,18.337,15.377,17.781
1500036875,2017-07-14 12:54:35,22.417,15.108,15.028,16.077,17.156,18.529,15.442,17.780
1500036880,2017-07-14 12:54:40,22.290,15.172,15.093,16.206,17.157,18.529,15.441,17.653
1500036885,2017-07-14 12:54:45,22.545,15.235,15.028,16.206,17.221,18.528,15.506,17.718
1500036890,2017-07-14 12:54:50,22.482,15.108,15.285,15.625,16.641,18.271,15.634,17.137
1500036895,2017-07-14 12:54:55,22.545,15.557,15.544,15.625,15.997,17.497,15.764,16.556
1500036900,2017-07-14 12:55:00,22.417,15.493,15.415,15.755,16.319,17.498,15.828,17.072
1500036905,2017-07-14 12:55:05,22.224,14.527,14.770,15.560,15.932,17.691,15.570,17.200
1500036910,2017-07-14 12:55:10,22.225,15.622,15.543,15.754,16.706,17.948,15.894,17.393
1500036915,2017-07-14 12:55:15,22.481,15.559,15.543,15.883,16.963,18.013,15.893,17.522
1500036920,2017-07-14 12:55:20,22.352,15.815,15.608,15.946,17.026,18.270,15.957,17.652
1500036925,2017-07-14 12:55:25,22.481,15.687,15.672,16.075,17.028,18.463,16.022,17.715
1500036930,2017-07-14 12:55:30,22.288,15.686,15.608,16.141,17.156,18.528,15.891,17.780
1500036935,2017-07-14 12:55:35,22.481,15.814,15.737,16.140,17.221,18.656,16.085,17.844
1500036940,2017-07-14 12:55:40,22.546,15.815,15.735,16.205,17.221,18.785,16.150,17.909
1500036945,2017-07-14 12:55:45,22.482,15.687,15.672,16.333,17.414,18.848,16.214,17.973
1500036950,2017-07-14 12:55:50,22.481,15.686,15.738,16.334,17.413,18.913,16.149,18.103
1500036955,2017-07-14 12:55:55,22.481,15.749,15.736,16.527,17.477,19.107,16.150,18.165
1500036960,2017-07-14 12:56:00,22.481,15.815,15.800,16.528,17.606,19.107,16.150,18.166
1500036965,2017-07-14 12:56:05,22.544,15.814,15.865,16.592,17.735,19.299,16.213,18.295
1500036970,2017-07-14 12:56:10,22.481,15.878,15.865,16.721,17.671,19.299,16.149,18.486
1500036975,2017-07-14 12:56:15,22.480,15.879,15.864,16.657,17.863,19.299,16.214,18.616
1500036980,2017-07-14 12:56:20,22.481,15.815,15.929,16.785,17.992,19.428,16.084,18.616
1500036985,2017-07-14 12:56:25,22.544,15.878,15.800,16.849,17.863,19.556,16.213,18.680
1500036990,2017-07-14 12:56:30,22.480,15.879,15.929,16.913,17.993,19.557,16.215,18.679
1500036995,2017-07-14 12:56:35,22.545,16.007,15.865,16.850,17.992,19.684,16.279,18.743
1500037000,2017-07-14 12:56:40,22.544,16.071,15.994,17.042,18.057,19.621,16.342,18.744
1500037005,2017-07-14 12:56:45,22.546,15.942,15.799,17.042,18.120,19.749,16.343,18.807
1500037010,2017-07-14 12:56:50,22.544,16.008,16.057,17.107,18.250,19.814,16.343,18.937
1500037015,2017-07-14 12:56:55,22.544,16.008,15.929,17.106,18.250,19.814,16.343,18.937
1500037020,2017-07-14 12:57:00,22.544,16.072,16.057,17.171,18.250,19.813,16.277,19.001
1500037025,2017-07-14 12:57:05,22.609,16.071,16.058,17.235,18.185,19.943,16.343,19.065
1500037030,2017-07-14 12:57:10,22.672,16.071,15.994,17.172,18.249,19.878,15.955,19.194
1500037035,2017-07-14 12:57:15,22.543,16.072,15.994,17.365,18.507,19.877,16.407,19.193
1500037040,2017-07-14 12:57:20,22.544,16.070,16.057,17.301,18.442,20.006,16.406,19.194
1500037045,2017-07-14 12:57:25,22.544,16.071,15.993,17.365,18.569,19.879,16.342,19.129
1500037050,2017-07-14 12:57:30,22.608,16.135,16.122,17.494,18.570,20.070,16.406,19.322
1500037055,2017-07-14 12:57:35,22.673,16.135,16.123,17.557,18.571,19.941,16.534,19.386
1500037060,2017-07-14 12:57:40,22.607,16.328,16.122,17.558,18.570,19.878,16.599,19.450
1500037065,2017-07-14 12:57:45,22.543,16.263,16.186,17.621,18.827,19.942,16.535,19.449
1500037070,2017-07-14 12:57:50,22.544,16.328,16.123,17.621,18.826,20.070,16.470,19.515
1500037075,2017-07-14 12:57:55,22.544,16.327,16.251,17.621,18.764,20.134,16.534,19.643
1500037080,2017-07-14 12:58:00,22.544,16.264,16.122,17.751,18.956,20.135,16.533,19.707
1500037085,2017-07-14 12:58:05,22.544,16.393,16.315,17.750,18.956,20.327,16.599,19.643
1500037090,2017-07-14 12:58:10,22.544,16.328,16.251,17.816,19.020,20.326,16.535,19.707
1500037095,2017-07-14 12:58:15,22.543,16.392,16.315,17.814,19.020,20.327,16.663,19.707
1500037100,2017-07-14 12:58:20,22.544,16.520,16.251,17.879,18.956,20.263,16.468,19.708
1500037105,2017-07-14 12:58:25,22.608,16.457,16.250,18.007,19.020,20.391,16.727,19.772
1500037110,2017-07-14 12:58:30,22.544,16.392,16.379,17.944,19.085,20.327,16.664,19.771
1500037115,2017-07-14 12:58:35,22.608,16.521,16.314,17.878,19.084,20.456,16.663,19.963
1500037120,2017-07-14 12:58:40,22.799,16.392,16.379,18.136,19.212,20.584,16.662,19.964
1500037125,2017-07-14 12:58:45,22.607,16.457,16.443,18.008,19.213,20.585,16.663,19.835
1500037130,2017-07-14 12:58:50,22.542,16.585,16.380,18.138,19.213,20.648,16.727,19.963
1500037135,2017-07-14 12:58:55,22.415,16.264,16.122,17.943,18.955,20.712,16.470,19.900
1500037140,2017-07-14 12:59:00,22.607,16.585,16.443,18.329,19.276,20.648,16.792,20.092
1500037145,2017-07-14 12:59:05,22.415,16.649,16.443,18.200,19.340,20.712,16.792,20.028
1500037150,2017-07-14 12:59:10,22.351,16.585,16.443,18.265,19.341,20.840,16.920,20.220
1500037155,2017-07-14 12:59:15,22.286,16.713,16.508,18.329,19.406,20.712,16.856,20.219
1500037160,2017-07-14 12:59:20,22.093,16.778,16.507,18.329,19.533,20.840,16.985,20.220
1500037165,2017-07-14 12:59:25,22.029,16.777,16.572,18.393,19.662,20.776,16.984,20.220
