POSIXt,DateTime,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7
1501584775,2017-08-01 10:52:55,23.543,19.194,18.413,17.787,17.706,17.726,18.181,18.651
1501584780,2017-08-01 10:53:00,23.478,19.194,18.606,17.851,17.706,17.853,18.182,18.652
1501584785,2017-08-01 10:53:05,23.542,19.387,18.735,17.915,17.899,17.661,18.182,18.459
1501584790,2017-08-01 10:53:10,23.542,19.580,18.800,17.981,17.769,17.854,18.052,18.459
1501584795,2017-08-01 10:53:15,23.543,19.643,18.864,18.109,17.833,17.854,18.182,18.458
1501584800,2017-08-01 10:53:20,23.479,19.835,19.121,18.173,17.961,17.983,17.924,18.394
1501584805,2017-08-01 10:53:25,23.286,19.773,19.120,18.238,17.962,17.919,18.053,18.458
1501584810,2017-08-01 10:53:30,23.478,19.900,19.121,18.174,18.026,17.918,18.053,18.266
1501584815,2017-08-01 10:53:35,23.350,20.029,19.186,18.367,17.961,17.918,17.924,18.395
1501584820,2017-08-01 10:53:40,23.222,20.157,19.315,18.366,18.026,17.919,18.053,18.328
1501584825,2017-08-01 10:53:45,23.349,20.349,19.378,18.430,18.091,17.917,18.053,18.329
1501584830,2017-08-01 10:53:50,23.350,20.285,19.378,18.431,18.155,17.982,17.987,18.458
1501584835,2017-08-01 10:53:55,23.350,20.478,19.699,18.560,18.090,18.046,18.182,18.521
1501584840,2017-08-01 10:54:00,23.478,20.606,19.700,18.560,18.091,17.982,18.117,18.394
1501584845,2017-08-01 10:54:05,23.350,20.607,19.701,18.689,18.091,18.047,18.117,18.522
1501584850,2017-08-01 10:54:10,23.286,20.670,19.892,18.688,18.154,18.047,18.117,18.586
1501584855,2017-08-01 10:54:15,23.350,20.799,19.956,18.754,18.218,18.046,18.181,18.522
1501584860,2017-08-01 10:54:20,23.286,20.925,19.958,18.817,18.220,18.175,18.181,18.457
1501584865,2017-08-01 10:54:25,23.350,21.055,19.893,18.882,18.155,18.047,18.181,18.585
1501584870,2017-08-01 10:54:30,23.413,21.055,20.086,18.753,18.218,18.112,18.246,18.522
1501584875,2017-08-01 10:54:35,23.349,21.183,20.086,18.945,18.283,18.111,18.245,18.521
1501584880,2017-08-01 10:54:40,23.350,21.119,20.213,18.946,18.348,18.176,18.245,18.650
1501584885,2017-08-01 10:54:45,23.350,21.183,20.341,18.882,18.347,18.110,18.438,18.650
1501584890,2017-08-01 10:54:50,23.350,21.376,20.342,19.011,18.347,18.238,18.374,18.651
1501584895,2017-08-01 10:54:55,23.350,21.375,20.279,19.139,18.347,18.304,18.245,18.650
1501584900,2017-08-01 10:55:00,23.477,21.440,20.406,19.138,18.347,18.239,18.245,18.586
1501584905,2017-08-01 10:55:05,23.413,21.439,20.407,19.138,18.476,18.239,18.373,18.649
1501584910,2017-08-01 10:55:10,23.414,21.503,20.536,19.203,18.476,18.239,18.502,18.715
1501584915,2017-08-01 10:55:15,23.478,21.631,20.535,19.266,18.476,18.304,18.438,18.586
1501584920,2017-08-01 10:55:20,23.542,21.696,20.664,19.266,18.477,18.368,18.245,18.650
1501584925,2017-08-01 10:55:25,23.350,21.631,20.536,19.332,18.475,18.304,18.374,18.650
