POSIXt,DateTime,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7
1500641795,2017-07-21 12:56:35,16.806,17.992,18.497,19.223,16.242,16.713,16.527,24.893
1500641800,2017-07-21 12:56:40,16.998,18.056,18.626,19.417,16.435,16.713,16.654,25.532
1500641805,2017-07-21 12:56:45,16.935,18.056,18.882,19.672,16.372,16.777,16.654,25.915
1500641810,2017-07-21 12:56:50,17.063,18.249,18.946,19.737,16.500,16.777,16.589,24.444
1500641815,2017-07-21 12:56:55,17.064,18.378,19.140,19.866,16.500,16.841,16.525,23.036
1500641820,2017-07-21 12:57:00,17.128,18.441,19.204,19.866,16.500,16.777,16.589,22.457
1500641825,2017-07-21 12:57:05,17.257,18.442,19.140,19.994,16.563,16.905,16.653,22.201
1500641830,2017-07-21 12:57:10,17.192,18.633,19.396,20.123,16.565,16.905,16.590,22.074
1500641835,2017-07-21 12:57:15,17.320,18.635,19.396,20.188,16.692,16.842,16.654,22.265
1500641840,2017-07-21 12:57:20,17.321,18.763,19.460,20.315,16.628,16.905,16.653,22.779
1500641845,2017-07-21 12:57:25,17.385,18.827,19.717,20.572,16.693,16.905,16.719,23.034
1500641850,2017-07-21 12:57:30,17.385,18.955,19.718,20.508,16.628,16.905,16.782,23.162
1500641855,2017-07-21 12:57:35,17.578,19.147,19.911,20.446,16.821,16.841,16.782,23.610
1500641860,2017-07-21 12:57:40,17.644,19.148,20.039,20.571,16.756,16.970,16.717,23.355
1500641865,2017-07-21 12:57:45,17.577,19.276,20.102,20.700,16.692,16.969,16.718,23.161
1500641870,2017-07-21 12:57:50,17.644,19.277,20.231,20.636,16.692,17.033,16.782,23.161
1500641875,2017-07-21 12:57:55,17.706,19.403,20.232,20.957,16.756,16.905,16.716,23.161
1500641880,2017-07-21 12:58:00,17.835,19.595,20.423,20.894,16.885,16.970,16.717,23.098
1500641885,2017-07-21 12:58:05,17.772,19.532,20.552,21.085,16.885,16.971,16.846,22.905
1500641890,2017-07-21 12:58:10,17.772,19.660,20.681,21.215,16.948,16.968,16.846,22.905
1500641895,2017-07-21 12:58:15,17.899,19.788,20.680,21.214,17.014,17.162,16.909,23.032
1500641900,2017-07-21 12:58:20,17.835,19.724,20.746,21.341,16.950,17.097,16.910,22.840
1500641905,2017-07-21 12:58:25,17.900,19.917,20.744,21.342,17.142,17.162,16.909,22.969
1500641910,2017-07-21 12:58:30,17.963,19.981,20.937,21.278,17.014,17.098,16.845,22.905
1500641915,2017-07-21 12:58:35,18.029,20.045,20.938,21.407,17.077,17.033,16.782,22.776
1500641920,2017-07-21 12:58:40,18.093,19.917,20.873,21.534,17.013,17.161,16.909,22.840
1500641925,2017-07-21 12:58:45,18.028,20.173,21.001,21.533,17.207,17.226,16.910,22.903
1500641930,2017-07-21 12:58:50,18.351,20.174,21.065,21.599,17.078,17.226,16.974,22.776
1500641935,2017-07-21 12:58:55,18.157,20.365,21.130,21.727,17.206,17.226,17.039,22.904
1500641940,2017-07-21 12:59:00,18.414,20.302,21.258,21.919,17.207,17.162,16.973,22.776
1500641945,2017-07-21 12:59:05,18.415,20.429,21.450,21.856,17.206,17.226,17.039,22.775
1500641950,2017-07-21 12:59:10,18.480,20.493,21.450,21.984,17.206,17.290,16.974,22.775
1500641955,2017-07-21 12:59:15,18.479,20.493,21.451,21.984,17.399,17.290,17.102,22.840
1500641960,2017-07-21 12:59:20,18.480,20.622,21.450,22.176,17.334,17.226,17.166,22.839
1500641965,2017-07-21 12:59:25,18.608,20.622,21.643,22.369,17.333,17.354,17.166,22.839
1500641970,2017-07-21 12:59:30,18.672,20.686,21.771,22.370,17.334,17.226,17.102,22.903
1500641975,2017-07-21 12:59:35,18.672,20.686,21.772,22.368,17.398,17.288,17.166,22.839
1500641980,2017-07-21 12:59:40,18.672,20.750,21.835,22.305,17.461,17.483,17.165,22.839
1500641985,2017-07-21 12:59:45,18.800,20.750,21.835,22.561,17.462,17.353,17.167,22.839
1500641990,2017-07-21 12:59:50,18.673,21.006,21.899,22.688,17.462,17.353,17.166,22.774
1500641995,2017-07-21 12:59:55,18.736,21.007,21.963,22.753,17.527,17.354,17.166,22.775
1500642000,2017-07-21 13:00:00,18.801,21.007,22.220,22.882,17.526,17.418,17.166,22.774
1500642005,2017-07-21 13:00:05,18.865,21.070,22.219,22.946,17.719,17.483,17.230,22.646
1500642010,2017-07-21 13:00:10,18.931,21.198,22.220,22.818,17.526,17.546,17.294,22.774
1500642015,2017-07-21 13:00:15,18.864,21.198,22.284,22.945,17.655,17.418,17.166,22.775
1500642020,2017-07-21 13:00:20,18.929,21.262,22.220,23.009,17.719,17.481,17.230,22.774
1500642025,2017-07-21 13:00:25,18.993,21.264,22.347,23.138,17.720,17.417,17.359,22.902
1500642030,2017-07-21 13:00:30,19.058,21.391,22.349,23.073,17.719,17.482,17.359,22.903
1500642035,2017-07-21 13:00:35,19.122,21.454,22.413,23.329,17.655,17.482,17.423,22.838
1500642040,2017-07-21 13:00:40,19.186,21.389,22.413,23.203,17.718,17.482,17.488,22.902
1500642045,2017-07-21 13:00:45,19.187,21.391,22.540,23.331,17.719,17.481,17.424,22.774
1500642050,2017-07-21 13:00:50,19.187,21.326,22.731,23.266,17.718,17.482,17.487,22.774
1500642055,2017-07-21 13:00:55,19.315,21.454,22.733,23.458,17.848,17.481,17.423,22.902
1500642060,2017-07-21 13:01:00,19.379,21.517,22.797,23.585,17.783,17.546,17.552,22.901
1500642065,2017-07-21 13:01:05,19.315,21.646,22.926,23.522,17.783,17.675,17.423,23.029
1500642070,2017-07-21 13:01:10,19.379,21.711,22.989,23.779,17.912,17.739,17.552,22.903
1500642075,2017-07-21 13:01:15,19.379,21.711,23.053,23.587,17.976,17.675,17.552,22.965
1500642080,2017-07-21 13:01:20,19.443,21.838,23.055,23.778,17.911,17.739,17.487,23.029
1500642085,2017-07-21 13:01:25,19.443,21.774,23.246,23.778,17.848,17.739,17.745,23.030
1500642090,2017-07-21 13:01:30,19.507,21.902,23.245,23.650,18.039,17.675,17.679,22.965
1500642095,2017-07-21 13:01:35,19.701,21.903,23.245,23.778,17.977,17.739,17.680,23.030
1500642100,2017-07-21 13:01:40,19.701,22.031,23.309,23.971,18.105,17.803,17.679,22.838
1500642105,2017-07-21 13:01:45,19.637,21.967,23.309,23.842,17.977,17.803,17.744,22.966
1500642110,2017-07-21 13:01:50,19.637,22.030,23.246,23.843,18.040,17.803,17.744,22.964
1500642115,2017-07-21 13:01:55,19.701,21.903,23.373,23.969,18.041,17.867,17.679,22.964
1500642120,2017-07-21 13:02:00,19.829,22.159,23.502,24.163,18.041,17.804,17.872,22.965
1500642125,2017-07-21 13:02:05,19.829,22.158,23.630,24.098,18.105,17.803,17.808,22.965
1500642130,2017-07-21 13:02:10,19.830,22.223,23.630,24.291,18.104,17.804,17.873,22.773
1500642135,2017-07-21 13:02:15,19.766,22.223,23.694,24.290,18.169,17.932,17.808,22.838
1500642140,2017-07-21 13:02:20,19.958,22.287,23.695,24.291,18.297,17.996,17.874,22.773
1500642145,2017-07-21 13:02:25,19.958,22.223,23.886,24.483,18.360,17.932,17.936,22.837
1500642150,2017-07-21 13:02:30,19.894,22.286,23.887,24.611,18.296,17.997,17.872,22.964
1500642155,2017-07-21 13:02:35,19.958,22.478,23.951,24.419,18.232,18.061,17.937,22.837
1500642160,2017-07-21 13:02:40,20.086,22.542,24.015,24.611,18.296,17.996,18.130,22.837
1500642165,2017-07-21 13:02:45,20.150,22.543,24.143,24.420,18.361,18.060,17.936,22.901
1500642170,2017-07-21 13:02:50,20.086,22.542,24.079,24.482,18.426,17.995,18.000,22.901
1500642175,2017-07-21 13:02:55,20.086,22.543,24.078,24.676,18.361,17.997,17.937,22.965
1500642180,2017-07-21 13:03:00,20.086,22.671,24.270,24.738,18.489,17.996,18.066,22.965
1500642185,2017-07-21 13:03:05,20.214,22.671,24.270,24.803,18.554,18.060,18.065,22.900
1500642190,2017-07-21 13:03:10,20.215,22.671,24.270,24.994,18.554,18.254,18.064,22.900
1500642195,2017-07-21 13:03:15,20.279,22.735,24.270,25.059,18.490,18.061,18.130,22.964
1500642200,2017-07-21 13:03:20,20.279,22.735,24.269,24.803,18.554,18.125,18.194,22.837
1500642205,2017-07-21 13:03:25,20.344,22.736,24.399,24.931,18.553,18.189,18.195,22.836
1500642210,2017-07-21 13:03:30,20.343,22.735,24.463,25.123,18.618,18.189,18.194,22.773
1500642215,2017-07-21 13:03:35,20.473,22.926,24.654,25.059,18.619,18.317,18.258,22.901
1500642220,2017-07-21 13:03:40,20.472,22.990,24.717,25.250,18.682,18.253,18.194,22.837
1500642225,2017-07-21 13:03:45,20.472,22.926,24.718,25.188,18.554,18.190,18.194,22.773
1500642230,2017-07-21 13:03:50,20.473,22.991,24.782,25.378,18.746,18.254,18.195,22.901
1500642235,2017-07-21 13:03:55,20.472,23.055,24.782,25.188,18.746,18.382,18.195,22.773
1500642240,2017-07-21 13:04:00,20.473,23.056,24.782,25.315,18.619,18.318,18.258,22.836
1500642245,2017-07-21 13:04:05,20.537,23.055,24.846,25.314,18.810,18.382,18.322,22.964
