POSIXt,DateTime,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7
1501603975,2017-08-01 16:12:55,19.839,20.245,19.337,19.162,19.272,19.614,19.620,22.912
1501603980,2017-08-01 16:13:00,19.902,20.372,19.337,19.226,19.272,19.616,19.557,23.040
1501603985,2017-08-01 16:13:05,19.968,20.565,19.401,19.161,19.271,19.679,19.491,23.168
1501603990,2017-08-01 16:13:10,19.904,20.565,19.400,19.419,19.272,19.743,19.492,23.039
1501603995,2017-08-01 16:13:15,20.095,20.693,19.530,19.290,19.336,19.679,19.620,23.166
1501604000,2017-08-01 16:13:20,20.224,20.757,19.593,19.226,19.272,19.678,19.683,23.039
1501604005,2017-08-01 16:13:25,20.224,20.820,19.656,19.290,19.272,19.679,19.683,23.165
1501604010,2017-08-01 16:13:30,20.225,20.757,19.657,19.226,19.335,19.679,19.619,23.230
1501604015,2017-08-01 16:13:35,20.224,20.885,19.721,19.290,19.399,19.614,19.555,23.102
1501604020,2017-08-01 16:13:40,20.095,20.884,19.464,19.225,19.270,19.678,19.555,23.039
1501604025,2017-08-01 16:13:45,20.416,20.949,19.850,19.355,19.271,19.613,19.490,22.652
1501604030,2017-08-01 16:13:50,20.545,20.948,19.850,19.354,19.271,19.677,19.555,23.102
1501604035,2017-08-01 16:13:55,20.481,21.013,19.914,19.419,19.271,19.678,19.682,23.037
1501604040,2017-08-01 16:14:00,20.481,21.204,19.850,19.354,19.334,19.613,19.554,23.102
1501604045,2017-08-01 16:14:05,20.289,21.013,19.785,19.418,19.206,19.550,19.554,22.973
1501604050,2017-08-01 16:14:10,20.481,21.331,19.914,19.417,19.334,19.549,19.618,23.102
1501604055,2017-08-01 16:14:15,20.545,21.204,19.914,19.353,19.399,19.677,19.553,23.101
1501604060,2017-08-01 16:14:20,20.800,21.268,20.042,19.354,19.398,19.742,19.682,23.101
1501604065,2017-08-01 16:14:25,20.608,21.332,19.912,19.481,19.270,19.678,19.682,23.164
1501604070,2017-08-01 16:14:30,20.673,21.395,20.042,19.417,19.463,19.613,19.682,23.165
1501604075,2017-08-01 16:14:35,20.673,21.460,20.170,19.482,19.398,19.677,19.617,22.843
1501604080,2017-08-01 16:14:40,20.737,21.525,20.106,19.417,19.462,19.677,19.681,23.228
1501604085,2017-08-01 16:14:45,20.801,21.717,20.169,19.418,19.461,19.677,19.616,23.164
1501604090,2017-08-01 16:14:50,20.993,21.588,20.169,19.417,19.461,19.612,19.681,23.164
1501604095,2017-08-01 16:14:55,20.994,21.653,20.170,19.417,19.525,19.804,19.616,23.291
1501604100,2017-08-01 16:15:00,21.057,21.652,20.362,19.481,19.397,19.869,19.681,23.163
1501604105,2017-08-01 16:15:05,21.186,21.716,20.233,19.416,19.526,19.740,19.616,23.227
1501604110,2017-08-01 16:15:10,21.122,21.716,20.297,19.610,19.524,19.804,19.680,23.292
1501604115,2017-08-01 16:15:15,21.186,21.716,20.425,19.481,19.525,19.676,19.681,23.162
1501604120,2017-08-01 16:15:20,21.250,21.843,20.426,19.417,19.461,19.675,19.616,23.290
1501604125,2017-08-01 16:15:25,21.251,21.843,20.427,19.545,19.461,19.676,19.680,23.163
1501604130,2017-08-01 16:15:30,21.314,21.908,20.554,19.481,19.461,19.804,19.678,23.355
1501604135,2017-08-01 16:15:35,21.378,21.972,20.617,19.609,19.460,19.804,19.615,23.163
1501604140,2017-08-01 16:15:40,21.378,22.099,20.490,19.544,19.524,19.740,19.744,23.291
1501604145,2017-08-01 16:15:45,21.442,22.227,20.553,19.672,19.524,19.675,19.679,23.227
1501604150,2017-08-01 16:15:50,21.378,22.036,20.490,19.735,19.524,19.740,19.614,23.226
1501604155,2017-08-01 16:15:55,21.506,22.164,20.682,19.607,19.524,19.804,19.743,23.226
1501604160,2017-08-01 16:16:00,21.441,22.034,20.617,19.672,19.588,19.738,19.680,23.226
1501604165,2017-08-01 16:16:05,21.443,22.227,20.617,19.672,19.524,19.739,19.743,23.288
1501604170,2017-08-01 16:16:10,21.506,22.420,20.682,19.608,19.525,19.804,19.742,23.225
1501604175,2017-08-01 16:16:15,21.570,22.483,20.681,19.671,19.524,19.804,19.744,23.161
1501604180,2017-08-01 16:16:20,21.569,22.227,20.553,19.608,19.525,19.739,19.807,23.034
1501604185,2017-08-01 16:16:25,21.440,22.227,20.746,19.672,19.587,19.675,19.679,23.097
1501604190,2017-08-01 16:16:30,21.569,22.483,20.746,19.736,19.652,19.802,19.679,23.033
1501604195,2017-08-01 16:16:35,21.504,22.483,20.809,19.671,19.522,19.803,19.742,23.225
1501604200,2017-08-01 16:16:40,21.506,22.547,20.938,19.673,19.587,19.802,19.743,23.098
1501604205,2017-08-01 16:16:45,21.698,22.547,20.873,19.672,19.523,19.803,19.614,23.161
1501604210,2017-08-01 16:16:50,21.761,22.674,20.874,19.798,19.587,19.866,19.677,23.224
1501604215,2017-08-01 16:16:55,21.698,22.674,20.937,19.671,19.522,19.867,19.870,23.097
1501604220,2017-08-01 16:17:00,21.826,22.738,20.938,19.735,19.587,19.802,19.742,23.097
1501604225,2017-08-01 16:17:05,21.826,22.673,20.937,19.735,19.587,19.801,19.870,23.224
1501604230,2017-08-01 16:17:10,21.954,22.609,20.937,19.928,19.587,19.801,19.741,23.032
1501604235,2017-08-01 16:17:15,21.826,22.674,21.065,19.799,19.522,19.802,19.741,23.097
1501604240,2017-08-01 16:17:20,22.082,22.609,21.001,19.799,19.651,19.802,19.742,23.032
1501604245,2017-08-01 16:17:25,22.018,22.802,21.065,19.735,19.523,19.801,19.741,22.905
