POSIXt,DateTime,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7
1500649485,2017-07-21 15:04:45,15.765,16.826,15.974,15.799,15.912,16.897,17.291,25.523
1500649490,2017-07-21 15:04:50,15.700,17.082,16.039,15.862,15.976,16.962,17.613,25.714
1500649495,2017-07-21 15:04:55,15.765,17.146,16.103,15.864,15.911,17.025,17.805,25.715
1500649500,2017-07-21 15:05:00,15.701,17.275,16.103,15.862,15.976,17.155,17.869,25.779
1500649505,2017-07-21 15:05:05,15.829,17.405,16.232,15.927,16.040,17.219,18.192,25.778
1500649510,2017-07-21 15:05:10,15.765,17.532,16.295,15.928,16.040,17.284,18.191,25.842
1500649515,2017-07-21 15:05:15,15.764,17.533,16.425,15.926,16.232,17.413,18.319,25.842
1500649520,2017-07-21 15:05:20,15.893,17.790,16.361,15.992,16.169,17.478,18.449,25.842
1500649525,2017-07-21 15:05:25,15.829,17.531,16.297,15.928,16.103,21.915,19.477,25.843
1500649530,2017-07-21 15:05:30,15.765,17.597,16.038,15.928,16.167,19.216,19.734,26.545
1500649535,2017-07-21 15:05:35,15.829,17.597,16.037,15.992,16.232,18.572,19.413,26.097
1500649540,2017-07-21 15:05:40,15.892,17.919,16.168,16.056,16.168,18.378,19.284,25.649
1500649545,2017-07-21 15:05:45,15.957,18.110,16.232,16.056,16.297,18.248,19.284,24.754
1500649550,2017-07-21 15:05:50,16.086,18.047,16.297,16.121,16.233,17.992,19.220,23.922
1500649555,2017-07-21 15:05:55,16.086,18.173,16.617,16.120,16.233,18.121,19.284,23.345
1500649560,2017-07-21 15:06:00,16.085,18.239,16.683,16.314,16.360,17.992,19.285,22.897
1500649565,2017-07-21 15:06:05,16.086,18.432,16.811,16.119,16.425,18.120,19.284,22.961
1500649570,2017-07-21 15:06:10,16.215,18.303,16.875,16.120,16.362,18.249,19.286,22.705
1500649575,2017-07-21 15:06:15,16.214,18.367,17.005,16.313,16.424,18.121,19.349,22.575
1500649580,2017-07-21 15:06:20,16.215,18.367,16.940,16.248,16.553,18.185,19.349,22.513
1500649585,2017-07-21 15:06:25,16.280,18.561,17.005,16.183,16.425,18.378,19.478,22.511
1500649590,2017-07-21 15:06:30,16.150,18.432,17.068,16.248,16.361,18.379,19.477,22.576
1500649595,2017-07-21 15:06:35,16.214,18.625,17.261,16.314,16.555,18.442,19.478,22.576
1500649600,2017-07-21 15:06:40,16.344,18.625,17.134,16.313,16.426,18.442,19.606,22.640
1500649605,2017-07-21 15:06:45,16.344,18.753,17.326,16.249,16.619,18.313,19.670,22.767
1500649610,2017-07-21 15:06:50,16.408,18.881,17.455,16.312,16.555,18.378,19.669,22.704
1500649615,2017-07-21 15:06:55,16.344,18.880,17.326,16.313,16.554,18.442,19.798,22.640
1500649620,2017-07-21 15:07:00,16.408,18.880,17.456,16.313,16.618,18.571,19.862,22.447
1500649625,2017-07-21 15:07:05,16.472,18.882,17.456,16.378,16.619,18.635,19.927,22.319
1500649630,2017-07-21 15:07:10,16.409,18.945,17.454,16.377,16.682,18.699,19.863,22.319
1500649635,2017-07-21 15:07:15,16.473,18.945,17.520,16.378,16.683,18.699,19.863,22.448
1500649640,2017-07-21 15:07:20,16.602,19.074,17.583,16.314,16.683,18.699,20.055,22.511
1500649645,2017-07-21 15:07:25,16.472,19.265,17.712,16.441,16.683,18.763,20.184,22.512
1500649650,2017-07-21 15:07:30,16.473,19.266,17.777,16.376,16.746,18.892,20.184,22.382
1500649655,2017-07-21 15:07:35,16.535,19.330,17.777,16.505,16.617,18.828,20.311,22.511
1500649660,2017-07-21 15:07:40,16.537,19.394,17.841,16.441,16.681,18.892,20.376,22.703
1500649665,2017-07-21 15:07:45,16.601,19.394,17.905,16.441,16.746,19.021,20.503,22.703
1500649670,2017-07-21 15:07:50,16.602,19.460,17.905,16.507,16.682,18.957,20.504,22.641
1500649675,2017-07-21 15:07:55,16.602,19.587,17.969,16.570,16.683,19.020,20.505,22.703
1500649680,2017-07-21 15:08:00,16.795,19.587,18.098,16.698,16.682,19.214,20.634,22.384
1500649685,2017-07-21 15:08:05,16.665,19.651,18.163,16.570,16.747,19.213,20.569,22.448
1500649690,2017-07-21 15:08:10,16.666,19.780,18.099,16.570,16.875,19.086,20.760,22.446
1500649695,2017-07-21 15:08:15,16.730,19.780,18.099,16.634,16.875,19.213,20.825,22.575
1500649700,2017-07-21 15:08:20,16.730,19.843,18.292,16.570,16.746,19.279,20.890,22.638
1500649705,2017-07-21 15:08:25,16.794,19.844,18.291,16.570,16.811,19.086,20.761,22.703
1500649710,2017-07-21 15:08:30,16.859,19.843,18.356,16.634,16.875,19.342,20.953,22.446
1500649715,2017-07-21 15:08:35,16.858,19.907,18.420,16.570,16.875,19.406,21.018,22.574
1500649720,2017-07-21 15:08:40,16.921,20.036,18.484,16.827,16.810,19.342,21.082,22.574
1500649725,2017-07-21 15:08:45,16.795,19.907,18.484,16.698,17.003,19.406,21.017,22.575
1500649730,2017-07-21 15:08:50,16.923,20.163,18.484,16.698,17.002,19.277,21.082,22.701
1500649735,2017-07-21 15:08:55,16.987,20.163,18.548,16.763,16.875,19.341,21.145,22.702
1500649740,2017-07-21 15:09:00,16.988,20.164,18.485,16.698,16.939,19.470,21.273,22.702
1500649745,2017-07-21 15:09:05,16.988,20.227,18.549,16.762,16.940,19.535,21.338,22.639
1500649750,2017-07-21 15:09:10,17.117,20.228,18.742,16.826,16.939,19.599,21.146,22.510
1500649755,2017-07-21 15:09:15,16.988,20.420,18.678,16.827,17.004,19.791,21.338,22.445
1500649760,2017-07-21 15:09:20,16.987,20.485,18.741,16.891,17.003,19.727,21.403,22.445
1500649765,2017-07-21 15:09:25,17.116,20.485,18.742,16.763,17.004,19.856,21.339,22.445
1500649770,2017-07-21 15:09:30,17.115,20.484,18.805,16.891,17.196,19.727,21.466,22.573
1500649775,2017-07-21 15:09:35,17.116,20.549,18.805,16.826,17.131,19.793,21.532,22.445
1500649780,2017-07-21 15:09:40,17.181,20.549,18.934,16.956,17.131,20.048,21.530,22.509
1500649785,2017-07-21 15:09:45,17.245,20.740,18.935,16.892,17.196,19.985,21.595,22.318
