POSIXt,DateTime,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7
1500628845,2017-07-21 09:20:45,15.429,16.107,15.447,15.853,15.255,15.146,16.184,22.310
1500628850,2017-07-21 09:20:50,15.300,16.041,15.510,15.982,15.319,15.145,16.118,22.246
1500628855,2017-07-21 09:20:55,15.492,16.106,15.574,15.980,15.319,15.208,16.117,22.053
1500628860,2017-07-21 09:21:00,15.428,16.105,15.573,15.916,15.383,15.209,16.247,22.053
1500628865,2017-07-21 09:21:05,15.556,16.233,15.574,16.047,15.318,15.208,16.246,21.987
1500628870,2017-07-21 09:21:10,15.427,16.683,15.509,16.174,15.384,15.208,16.439,22.052
1500628875,2017-07-21 09:21:15,15.620,16.877,15.636,16.431,15.446,15.207,16.696,21.988
1500628880,2017-07-21 09:21:20,15.619,17.133,15.508,16.561,15.382,15.207,16.825,21.987
1500628885,2017-07-21 09:21:25,15.619,17.326,15.508,16.559,15.319,15.208,17.018,22.050
1500628890,2017-07-21 09:21:30,15.682,17.454,15.637,16.688,15.319,15.143,17.211,22.050
1500628895,2017-07-21 09:21:35,15.682,17.583,15.571,16.946,15.317,15.271,17.404,22.113
1500628900,2017-07-21 09:21:40,15.681,17.711,15.572,17.074,15.445,15.335,17.597,22.113
1500628905,2017-07-21 09:21:45,15.811,17.904,15.700,17.203,15.444,15.335,17.726,22.370
1500628910,2017-07-21 09:21:50,15.811,18.096,15.636,17.204,15.573,15.400,17.918,22.370
1500628915,2017-07-21 09:21:55,15.811,18.160,15.765,17.459,15.508,15.462,18.048,22.305
1500628920,2017-07-21 09:22:00,15.874,18.225,15.571,17.589,15.510,15.463,18.175,22.305
1500628925,2017-07-21 09:22:05,15.874,18.418,15.699,17.653,15.508,15.398,18.239,22.112
1500628930,2017-07-21 09:22:10,15.940,18.545,15.700,17.718,15.444,15.462,18.368,22.113
1500628935,2017-07-21 09:22:15,16.132,18.608,15.699,17.847,15.443,15.398,18.368,22.048
1500628940,2017-07-21 09:22:20,16.066,18.736,15.762,17.910,15.508,15.526,18.561,22.047
1500628945,2017-07-21 09:22:25,16.068,18.929,15.827,18.038,15.636,15.461,18.690,22.111
1500628950,2017-07-21 09:22:30,16.262,18.929,15.827,18.166,15.508,15.461,18.624,22.046
1500628955,2017-07-21 09:22:35,16.389,18.993,15.891,18.167,15.507,15.460,18.753,22.110
1500628960,2017-07-21 09:22:40,16.389,19.057,15.762,18.294,15.571,15.525,18.817,22.239
1500628965,2017-07-21 09:22:45,16.325,19.249,15.824,18.422,15.635,15.461,19.008,22.046
1500628970,2017-07-21 09:22:50,16.582,19.249,15.826,18.423,15.699,15.653,19.073,22.110
1500628975,2017-07-21 09:22:55,16.775,19.441,15.825,18.551,15.633,15.588,19.201,22.044
1500628980,2017-07-21 09:23:00,16.645,19.377,15.890,18.488,15.633,15.589,19.266,21.980
1500628985,2017-07-21 09:23:05,16.646,19.507,15.823,18.744,15.633,15.653,19.329,22.044
1500628990,2017-07-21 09:23:10,16.839,19.441,15.888,18.681,15.634,15.716,19.459,22.044
1500628995,2017-07-21 09:23:15,16.839,19.633,16.017,18.809,15.633,15.718,19.393,21.979
1500629000,2017-07-21 09:23:20,16.903,19.633,15.953,18.808,15.762,15.781,19.457,22.043
1500629005,2017-07-21 09:23:25,16.966,19.697,15.952,18.808,15.761,15.780,19.520,22.171
1500629010,2017-07-21 09:23:30,16.968,19.825,16.080,18.872,15.695,15.844,19.648,22.042
1500629015,2017-07-21 09:23:35,16.967,19.825,16.080,18.872,15.696,15.780,19.714,22.041
1500629020,2017-07-21 09:23:40,17.096,19.952,16.081,19.000,15.697,15.909,19.841,22.042
1500629025,2017-07-21 09:23:45,17.159,19.953,16.081,18.999,15.760,15.845,19.778,21.913
1500629030,2017-07-21 09:23:50,17.160,20.081,16.146,18.936,15.890,15.909,19.905,21.720
1500629035,2017-07-21 09:23:55,17.223,19.953,16.079,19.191,15.823,15.972,20.034,21.656
1500629040,2017-07-21 09:24:00,17.289,20.080,16.208,19.128,15.824,16.037,20.034,21.528
1500629045,2017-07-21 09:24:05,17.353,20.016,16.079,19.192,15.759,16.036,20.034,21.398
1500629050,2017-07-21 09:24:10,17.416,20.144,16.208,19.321,15.888,16.099,20.161,21.462
