POSIXt,DateTime,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7
1501580645,2017-08-01 09:44:05,22.802,18.901,18.635,18.203,17.992,18.204,19.240,18.101
1501580650,2017-08-01 09:44:10,22.864,18.964,18.700,18.395,18.184,18.269,19.562,18.101
1501580655,2017-08-01 09:44:15,22.674,19.029,18.634,18.395,17.990,18.074,19.690,18.100
1501580660,2017-08-01 09:44:20,22.865,19.093,18.699,18.266,18.055,18.204,19.818,18.163
1501580665,2017-08-01 09:44:25,22.929,19.222,18.827,18.459,18.119,18.202,19.754,18.099
1501580670,2017-08-01 09:44:30,23.056,19.285,18.827,18.395,18.183,18.267,19.946,18.163
1501580675,2017-08-01 09:44:35,22.929,19.349,18.955,18.458,18.118,18.331,20.075,18.163
1501580680,2017-08-01 09:44:40,22.864,19.413,18.892,18.394,18.184,18.202,20.267,18.163
1501580685,2017-08-01 09:44:45,22.799,19.669,19.083,18.393,18.183,18.395,20.331,18.227
1501580690,2017-08-01 09:44:50,22.927,19.670,19.085,18.394,18.310,18.266,20.331,18.226
1501580695,2017-08-01 09:44:55,22.799,19.798,19.147,18.520,18.245,18.266,20.523,18.289
1501580700,2017-08-01 09:45:00,22.799,19.926,19.148,18.521,18.245,18.201,20.651,18.354
1501580705,2017-08-01 09:45:05,22.734,19.862,19.211,18.585,18.246,18.330,20.779,18.291
1501580710,2017-08-01 09:45:10,22.861,19.926,19.148,18.456,18.054,18.329,20.908,18.354
1501580715,2017-08-01 09:45:15,22.861,19.991,19.340,18.586,18.244,18.329,20.972,18.291
1501580720,2017-08-01 09:45:20,22.927,20.183,19.404,18.585,18.246,18.329,20.907,18.355
1501580725,2017-08-01 09:45:25,22.862,20.182,19.468,18.520,18.245,18.457,21.036,18.482
1501580730,2017-08-01 09:45:30,22.863,20.182,19.596,18.649,18.116,18.393,21.037,18.418
1501580735,2017-08-01 09:45:35,22.990,20.310,19.467,18.649,18.309,18.457,20.971,18.417
1501580740,2017-08-01 09:45:40,22.989,20.247,19.660,18.714,18.309,18.522,21.163,18.480
1501580745,2017-08-01 09:45:45,22.924,20.311,19.661,18.713,18.245,18.328,21.163,18.416
1501580750,2017-08-01 09:45:50,22.862,20.438,19.725,18.713,18.245,18.457,21.292,18.480
1501580755,2017-08-01 09:45:55,22.861,20.438,19.660,18.777,18.308,18.457,21.356,18.416
1501580760,2017-08-01 09:46:00,22.924,20.439,19.724,18.648,18.309,18.457,21.484,18.609
1501580765,2017-08-01 09:46:05,22.924,20.374,19.916,18.647,18.244,18.521,21.484,18.609
