stationId,datum,TimeUTC,TideHT,Flag.Inferred,Flag.Flat.Tol,Flag.Rate.Tol,Flag.Temp.Tol
9413450,MLLW,2008-12-31 07:54:00,0.994,0,0,0,0
9413450,MLLW,2008-12-31 08:00:00,0.986,0,0,0,0
9413450,MLLW,2008-12-31 08:06:00,1.024,0,0,0,0
9413450,MLLW,2008-12-31 08:12:00,1.03,0,0,0,0
9413450,MLLW,2008-12-31 08:18:00,1.029,0,0,0,0
9413450,MLLW,2008-12-31 08:24:00,1.047,0,0,0,0
9413450,MLLW,2008-12-31 08:30:00,1.062,0,0,0,0
9413450,MLLW,2008-12-31 08:36:00,1.071,0,0,0,0
9413450,MLLW,2008-12-31 08:42:00,1.069,0,0,0,0
9413450,MLLW,2008-12-31 08:48:00,1.082,0,0,0,0
9413450,MLLW,2008-12-31 08:54:00,1.096,0,0,0,0
9413450,MLLW,2008-12-31 09:00:00,1.104,0,0,0,0
9413450,MLLW,2008-12-31 09:06:00,1.111,0,0,0,0
9413450,MLLW,2008-12-31 09:12:00,1.097,0,0,0,0
9413450,MLLW,2008-12-31 09:18:00,1.109,0,0,0,0
9413450,MLLW,2008-12-31 09:24:00,1.12,0,0,0,0
9413450,MLLW,2008-12-31 09:30:00,1.093,0,0,0,0
9413450,MLLW,2008-12-31 09:36:00,1.114,0,0,0,0
9413450,MLLW,2008-12-31 09:42:00,1.11,0,0,0,0
9413450,MLLW,2008-12-31 09:48:00,1.101,0,0,0,0
9413450,MLLW,2008-12-31 09:54:00,1.105,0,0,0,0
9413450,MLLW,2008-12-31 10:00:00,1.085,0,0,0,0
9413450,MLLW,2008-12-31 10:06:00,1.099,0,0,0,0
9413450,MLLW,2008-12-31 10:12:00,1.082,0,0,0,0
9413450,MLLW,2008-12-31 10:18:00,1.099,0,0,0,0
9413450,MLLW,2008-12-31 10:24:00,1.073,0,0,0,0
9413450,MLLW,2008-12-31 10:30:00,1.051,0,0,0,0
9413450,MLLW,2008-12-31 10:36:00,1.061,0,0,0,0
9413450,MLLW,2008-12-31 10:42:00,1.055,0,0,0,0
9413450,MLLW,2008-12-31 10:48:00,1.062,0,0,0,0
9413450,MLLW,2008-12-31 10:54:00,1.051,0,0,0,0
9413450,MLLW,2008-12-31 11:00:00,1.034,0,0,0,0
9413450,MLLW,2008-12-31 11:06:00,1.025,0,0,0,0
9413450,MLLW,2008-12-31 11:12:00,1.001,0,0,0,0
9413450,MLLW,2008-12-31 11:18:00,0.997,0,0,0,0
9413450,MLLW,2008-12-31 11:24:00,0.988,0,0,0,0
9413450,MLLW,2008-12-31 11:30:00,0.997,0,0,0,0
9413450,MLLW,2008-12-31 11:36:00,0.962,0,0,0,0
9413450,MLLW,2008-12-31 11:42:00,0.946,0,0,0,0
9413450,MLLW,2008-12-31 11:48:00,0.938,0,0,0,0
9413450,MLLW,2008-12-31 11:54:00,0.946,0,0,0,0
9413450,MLLW,2008-12-31 12:00:00,0.937,0,0,0,0
9413450,MLLW,2008-12-31 12:06:00,0.928,0,0,0,0
9413450,MLLW,2008-12-31 12:12:00,0.907,0,0,0,0
9413450,MLLW,2008-12-31 12:18:00,0.884,0,0,0,0
9413450,MLLW,2008-12-31 12:24:00,0.866,0,0,0,0
9413450,MLLW,2008-12-31 12:30:00,0.907,0,0,0,0
9413450,MLLW,2008-12-31 12:36:00,0.879,0,0,0,0
9413450,MLLW,2008-12-31 12:42:00,0.873,0,0,0,0
9413450,MLLW,2008-12-31 12:48:00,0.865,0,0,0,0
9413450,MLLW,2008-12-31 12:54:00,0.818,0,0,0,0
9413450,MLLW,2008-12-31 13:00:00,0.846,0,0,0,0
9413450,MLLW,2008-12-31 13:06:00,0.833,0,0,0,0
9413450,MLLW,2008-12-31 13:12:00,0.844,0,0,0,0
9413450,MLLW,2008-12-31 13:18:00,0.845,0,0,0,0
9413450,MLLW,2008-12-31 13:24:00,0.812,0,0,0,0
9413450,MLLW,2008-12-31 13:30:00,0.793,0,0,0,0
9413450,MLLW,2008-12-31 13:36:00,0.818,0,0,0,0
9413450,MLLW,2008-12-31 13:42:00,0.847,0,0,0,0
9413450,MLLW,2008-12-31 13:48:00,0.825,0,0,0,0
9413450,MLLW,2008-12-31 13:54:00,0.819,0,0,0,0
9413450,MLLW,2008-12-31 14:00:00,0.801,0,0,0,0
9413450,MLLW,2008-12-31 14:06:00,0.785,0,0,0,0
9413450,MLLW,2008-12-31 14:12:00,0.811,0,0,0,0
9413450,MLLW,2008-12-31 14:18:00,0.818,0,0,0,0
9413450,MLLW,2008-12-31 14:24:00,0.831,0,0,0,0
9413450,MLLW,2008-12-31 14:30:00,0.814,0,0,0,0
9413450,MLLW,2008-12-31 14:36:00,0.837,0,0,0,0
9413450,MLLW,2008-12-31 14:42:00,0.812,0,0,0,0
9413450,MLLW,2008-12-31 14:48:00,0.823,0,0,0,0
9413450,MLLW,2008-12-31 14:54:00,0.812,0,0,0,0
9413450,MLLW,2008-12-31 15:00:00,0.824,0,0,0,0
9413450,MLLW,2008-12-31 15:06:00,0.846,0,0,0,0
9413450,MLLW,2008-12-31 15:12:00,0.852,0,0,0,0
9413450,MLLW,2008-12-31 15:18:00,0.853,0,0,0,0
9413450,MLLW,2008-12-31 15:24:00,0.872,0,0,0,0
9413450,MLLW,2008-12-31 15:30:00,0.883,0,0,0,0
9413450,MLLW,2008-12-31 15:36:00,0.899,0,0,0,0
9413450,MLLW,2008-12-31 15:42:00,0.917,0,0,0,0
9413450,MLLW,2008-12-31 15:48:00,0.924,0,0,0,0
9413450,MLLW,2008-12-31 15:54:00,0.943,0,0,0,0
9413450,MLLW,2008-12-31 16:00:00,0.899,0,0,0,0
9413450,MLLW,2008-12-31 16:06:00,0.965,0,0,0,0
9413450,MLLW,2008-12-31 16:12:00,0.966,0,0,0,0
9413450,MLLW,2008-12-31 16:18:00,0.997,0,0,0,0
9413450,MLLW,2008-12-31 16:24:00,1.004,0,0,0,0
9413450,MLLW,2008-12-31 16:30:00,1.004,0,0,0,0
9413450,MLLW,2008-12-31 16:36:00,1.007,0,0,0,0
9413450,MLLW,2008-12-31 16:42:00,1.055,0,0,0,0
9413450,MLLW,2008-12-31 16:48:00,1.096,0,0,0,0
9413450,MLLW,2008-12-31 16:54:00,1.077,0,0,0,0
9413450,MLLW,2008-12-31 17:00:00,1.109,0,0,0,0
9413450,MLLW,2008-12-31 17:06:00,1.139,0,0,0,0
9413450,MLLW,2008-12-31 17:12:00,1.122,0,0,0,0
9413450,MLLW,2008-12-31 17:18:00,1.16,0,0,0,0
9413450,MLLW,2008-12-31 17:24:00,1.186,0,0,0,0
9413450,MLLW,2008-12-31 17:30:00,1.214,0,0,0,0
9413450,MLLW,2008-12-31 17:36:00,1.22,0,0,0,0
9413450,MLLW,2008-12-31 17:42:00,1.241,0,0,0,0
9413450,MLLW,2008-12-31 17:48:00,1.244,0,0,0,0
9413450,MLLW,2008-12-31 17:54:00,1.256,0,0,0,0
9413450,MLLW,2008-12-31 18:00:00,1.305,0,0,0,0
9413450,MLLW,2008-12-31 18:06:00,1.281,0,0,0,0
9413450,MLLW,2008-12-31 18:12:00,1.33,0,0,0,0
9413450,MLLW,2008-12-31 18:18:00,1.354,0,0,0,0
9413450,MLLW,2008-12-31 18:24:00,1.334,0,0,0,0
9413450,MLLW,2008-12-31 18:30:00,1.332,0,0,0,0
9413450,MLLW,2008-12-31 18:36:00,1.344,0,0,0,0
9413450,MLLW,2008-12-31 18:42:00,1.355,0,0,0,0
9413450,MLLW,2008-12-31 18:48:00,1.396,0,0,0,0
9413450,MLLW,2008-12-31 18:54:00,1.403,0,0,0,0
9413450,MLLW,2008-12-31 19:00:00,1.389,0,0,0,0
9413450,MLLW,2008-12-31 19:06:00,1.37,0,0,0,0
9413450,MLLW,2008-12-31 19:12:00,1.389,0,0,0,0
9413450,MLLW,2008-12-31 19:18:00,1.409,0,0,0,0
9413450,MLLW,2008-12-31 19:24:00,1.421,0,0,0,0
9413450,MLLW,2008-12-31 19:30:00,1.422,0,0,0,0
9413450,MLLW,2008-12-31 19:36:00,1.428,0,0,0,0
9413450,MLLW,2008-12-31 19:42:00,1.431,0,0,0,0
9413450,MLLW,2008-12-31 19:48:00,1.405,0,0,0,0
9413450,MLLW,2008-12-31 19:54:00,1.394,0,0,0,0
9413450,MLLW,2008-12-31 20:00:00,1.412,0,0,0,0
9413450,MLLW,2008-12-31 20:06:00,1.421,0,0,0,0
9413450,MLLW,2008-12-31 20:12:00,1.418,0,0,0,0
9413450,MLLW,2008-12-31 20:18:00,1.381,0,0,0,0
9413450,MLLW,2008-12-31 20:24:00,1.402,0,0,0,0
9413450,MLLW,2008-12-31 20:30:00,1.365,0,0,0,0
9413450,MLLW,2008-12-31 20:36:00,1.377,0,0,0,0
9413450,MLLW,2008-12-31 20:42:00,1.369,0,0,0,0
9413450,MLLW,2008-12-31 20:48:00,1.336,0,0,0,0
9413450,MLLW,2008-12-31 20:54:00,1.33,0,0,0,0
9413450,MLLW,2008-12-31 21:00:00,1.325,0,0,0,0
9413450,MLLW,2008-12-31 21:06:00,1.281,0,0,0,0
9413450,MLLW,2008-12-31 21:12:00,1.286,0,0,0,0
9413450,MLLW,2008-12-31 21:18:00,1.271,0,0,0,0
9413450,MLLW,2008-12-31 21:24:00,1.239,0,0,0,0
9413450,MLLW,2008-12-31 21:30:00,1.226,0,0,0,0
9413450,MLLW,2008-12-31 21:36:00,1.219,0,0,0,0
9413450,MLLW,2008-12-31 21:42:00,1.189,0,0,0,0
9413450,MLLW,2008-12-31 21:48:00,1.165,0,0,0,0
9413450,MLLW,2008-12-31 21:54:00,1.14,0,0,0,0
9413450,MLLW,2008-12-31 22:00:00,1.126,0,0,0,0
9413450,MLLW,2008-12-31 22:06:00,1.085,0,0,0,0
9413450,MLLW,2008-12-31 22:12:00,1.048,0,0,0,0
9413450,MLLW,2008-12-31 22:18:00,1.026,0,0,0,0
9413450,MLLW,2008-12-31 22:24:00,0.991,0,0,0,0
9413450,MLLW,2008-12-31 22:30:00,0.984,0,0,0,0
9413450,MLLW,2008-12-31 22:36:00,0.947,0,0,0,0
9413450,MLLW,2008-12-31 22:42:00,0.906,0,0,0,0
9413450,MLLW,2008-12-31 22:48:00,0.892,0,0,0,0
9413450,MLLW,2008-12-31 22:54:00,0.857,0,0,0,0
9413450,MLLW,2008-12-31 23:00:00,0.836,0,0,0,0
9413450,MLLW,2008-12-31 23:06:00,0.802,0,0,0,0
9413450,MLLW,2008-12-31 23:12:00,0.747,0,0,0,0
9413450,MLLW,2008-12-31 23:18:00,0.703,0,0,0,0
9413450,MLLW,2008-12-31 23:24:00,0.689,0,0,0,0
9413450,MLLW,2008-12-31 23:30:00,0.684,0,0,0,0
9413450,MLLW,2008-12-31 23:36:00,0.626,0,0,0,0
9413450,MLLW,2008-12-31 23:42:00,0.613,0,0,0,0
9413450,MLLW,2008-12-31 23:48:00,0.567,0,0,0,0
